CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,617;0,015
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,617;0,021
SP00007;SP;9748,000;5727,000;4021,000;5077,000;2,000;0,039;1,235;0,035
SP00012;SP;9441,000;6116,000;3325,000;5498,000;2,000;0,036;1,235;0,033
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,617;0,023
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,617;0,045
SP00035;SP;5608,000;3859,000;1749,000;3432,000;1,000;0,029;0,617;0,026
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,617;0,024
SP00083;SP;12710,000;9298,000;3412,000;8373,000;2,000;0,024;1,235;0,022
SP00086;SP;5934,000;4153,000;1781,000;3692,000;2,000;0,054;1,235;0,048
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,617;0,020
SP00101;SP;8957,000;6780,000;2177,000;6001,000;1,000;0,017;0,617;0,015
SP00133;SP;4191,000;2905,000;1286,000;2648,000;2,000;0,076;1,235;0,069
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,617;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;1,000;0,017;0,617;0,015
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,617;0,039
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,617;0,019
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,617;0,020
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,617;0,027
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,617;0,015
SP00228;SP;3772,000;2679,000;1093,000;2265,000;1,000;0,044;0,617;0,037
SP00244;SP;1594,000;1206,000;388,000;978,000;1,000;0,102;0,617;0,083
SP00265;SP;5313,000;3854,000;1459,000;3315,000;2,000;0,060;1,235;0,052
SP00299;SP;2182,000;1568,000;614,000;1389,000;1,000;0,072;0,617;0,064
SP00304;SP;3481,000;2524,000;957,000;2284,000;1,000;0,044;0,617;0,040
SP00306;SP;5275,000;3647,000;1628,000;3252,000;1,000;0,031;0,617;0,027
SP00318;SP;2552,000;1822,000;730,000;1585,000;1,000;0,063;0,617;0,055
SP00335;SP;4066,000;2940,000;1126,000;2443,000;1,000;0,041;0,617;0,034
SP00349;SP;3642,000;2779,000;863,000;2310,000;1,000;0,043;0,617;0,036
