CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00003;SP;6223,000;3562,000;2661,000;3191,000;3,000;0,094;0,275;0,084
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,092;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,092;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,092;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,092;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,092;0,017
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,092;0,016
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,092;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;1,000;0,025;0,092;0,023
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,092;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,092;0,031
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,092;0,026
SP00025;SP;3193,000;2227,000;966,000;2052,000;2,000;0,097;0,183;0,090
SP00027;SP;3011,000;1933,000;1078,000;1784,000;2,000;0,112;0,183;0,103
SP00028;SP;8070,000;5175,000;2895,000;4726,000;3,000;0,063;0,275;0,058
SP00029;SP;17797,000;12599,000;5198,000;11769,000;6,000;0,051;0,550;0,048
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,092;0,019
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,183;0,042
SP00038;SP;8044,000;5650,000;2394,000;5177,000;2,000;0,039;0,183;0,035
SP00039;SP;6391,000;4336,000;2055,000;3981,000;1,000;0,025;0,092;0,023
SP00040;SP;7288,000;5434,000;1854,000;4999,000;2,000;0,040;0,183;0,037
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,092;0,034
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,092;0,030
SP00051;SP;9919,000;6324,000;3595,000;5895,000;2,000;0,034;0,183;0,032
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,092;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;0,183;0,055
SP00057;SP;4525,000;2909,000;1616,000;2485,000;2,000;0,080;0,183;0,069
SP00058;SP;5387,000;3548,000;1839,000;3095,000;1,000;0,032;0,092;0,028
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,092;0,024
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,092;0,029
SP00063;SP;2961,000;1817,000;1144,000;1572,000;2,000;0,127;0,183;0,110
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,092;0,052
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,092;0,049
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,092;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;2,000;0,055;0,183;0,049
SP00072;SP;4862,000;3103,000;1759,000;2736,000;2,000;0,073;0,183;0,064
SP00074;SP;4599,000;3060,000;1539,000;2770,000;2,000;0,072;0,183;0,065
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,092;0,020
SP00081;SP;4985,000;3194,000;1791,000;2755,000;1,000;0,036;0,092;0,031
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,092;0,011
SP00086;SP;5934,000;4153,000;1781,000;3692,000;3,000;0,081;0,275;0,072
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,092;0,020
SP00088;SP;8110,000;5666,000;2444,000;5056,000;3,000;0,059;0,275;0,053
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,092;0,023
SP00092;SP;8010,000;5674,000;2336,000;5030,000;5,000;0,099;0,459;0,088
SP00095;SP;7262,000;5378,000;1884,000;4657,000;2,000;0,043;0,183;0,037
SP00097;SP;4480,000;3320,000;1160,000;2831,000;2,000;0,071;0,183;0,060
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,092;0,030
SP00101;SP;8957,000;6780,000;2177,000;6001,000;3,000;0,050;0,275;0,044
SP00107;SP;5091,000;3438,000;1653,000;3201,000;5,000;0,156;0,459;0,145
SP00108;SP;7706,000;4996,000;2710,000;4672,000;4,000;0,086;0,367;0,080
SP00111;SP;5405,000;3713,000;1692,000;3463,000;5,000;0,144;0,459;0,135
SP00114;SP;11524,000;7280,000;4244,000;6663,000;5,000;0,075;0,459;0,069
SP00115;SP;6789,000;4670,000;2119,000;4276,000;4,000;0,094;0,367;0,086
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;0,183;0,023
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,183;0,025
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,092;0,013
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,092;0,038
SP00125;SP;8768,000;6055,000;2713,000;5539,000;3,000;0,054;0,275;0,050
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,092;0,015
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,183;0,038
SP00131;SP;5037,000;3622,000;1415,000;3345,000;2,000;0,060;0,183;0,055
SP00133;SP;4191,000;2905,000;1286,000;2648,000;2,000;0,076;0,183;0,069
SP00134;SP;5615,000;3841,000;1774,000;3504,000;3,000;0,086;0,275;0,078
SP00135;SP;10099,000;6853,000;3246,000;5983,000;2,000;0,033;0,183;0,029
SP00136;SP;9241,000;6497,000;2744,000;5815,000;4,000;0,069;0,367;0,062
SP00137;SP;6956,000;4953,000;2003,000;4471,000;3,000;0,067;0,275;0,061
SP00139;SP;7945,000;5514,000;2431,000;4905,000;2,000;0,041;0,183;0,036
SP00140;SP;5793,000;3889,000;1904,000;3467,000;2,000;0,058;0,183;0,051
SP00141;SP;4594,000;3186,000;1408,000;2804,000;1,000;0,036;0,092;0,031
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,092;0,018
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,092;0,019
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,092;0,027
SP00150;SP;2320,000;1742,000;578,000;1615,000;2,000;0,124;0,183;0,115
SP00151;SP;4988,000;3688,000;1300,000;3066,000;1,000;0,033;0,092;0,027
SP00154;SP;6876,000;4799,000;2077,000;4025,000;2,000;0,050;0,183;0,042
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,092;0,021
SP00160;SP;7072,000;5254,000;1818,000;4369,000;2,000;0,046;0,183;0,038
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,092;0,018
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,092;0,020
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,092;0,023
SP00166;SP;3724,000;2789,000;935,000;2307,000;2,000;0,087;0,183;0,072
SP00167;SP;6528,000;4883,000;1645,000;3930,000;1,000;0,025;0,092;0,020
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,092;0,020
SP00172;SP;4627,000;3517,000;1110,000;2935,000;1,000;0,034;0,092;0,028
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,092;0,031
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,092;0,016
SP00179;SP;3023,000;2176,000;847,000;1776,000;1,000;0,056;0,092;0,046
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,092;0,050
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,092;0,031
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,092;0,026
SP00190;SP;9191,000;6215,000;2976,000;5565,000;2,000;0,036;0,183;0,032
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,092;0,030
SP00192;SP;3326,000;2267,000;1059,000;2028,000;1,000;0,049;0,092;0,044
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,092;0,033
SP00194;SP;8615,000;6268,000;2347,000;5780,000;3,000;0,052;0,275;0,048
SP00196;SP;3423,000;2500,000;923,000;2236,000;1,000;0,045;0,092;0,040
SP00198;SP;9846,000;7057,000;2789,000;6333,000;2,000;0,032;0,183;0,028
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,092;0,015
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,092;0,018
SP00203;SP;7005,000;4837,000;2168,000;4332,000;3,000;0,069;0,275;0,062
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,092;0,045
SP00208;SP;1780,000;1279,000;501,000;1147,000;1,000;0,087;0,092;0,078
SP00213;SP;4732,000;3454,000;1278,000;3107,000;1,000;0,032;0,092;0,029
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,092;0,026
SP00220;SP;2119,000;1454,000;665,000;1292,000;1,000;0,077;0,092;0,069
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,092;0,025
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,092;0,030
SP00230;SP;4442,000;3139,000;1303,000;2668,000;1,000;0,037;0,092;0,032
SP00231;SP;4477,000;3485,000;992,000;2989,000;2,000;0,067;0,183;0,057
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,092;0,029
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,092;0,021
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,092;0,037
SP00245;SP;1860,000;1458,000;402,000;1167,000;1,000;0,086;0,092;0,069
SP00247;SP;3039,000;2356,000;683,000;1915,000;1,000;0,052;0,092;0,042
SP00248;SP;2993,000;2193,000;800,000;1833,000;1,000;0,055;0,092;0,046
SP00250;SP;4023,000;3125,000;898,000;2566,000;2,000;0,078;0,183;0,064
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,092;0,035
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,092;0,025
SP00262;SP;6791,000;4838,000;1953,000;4128,000;2,000;0,048;0,183;0,041
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,092;0,020
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,092;0,023
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,092;0,023
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,092;0,021
SP00273;SP;5615,000;4390,000;1225,000;3670,000;2,000;0,054;0,183;0,046
SP00275;SP;4248,000;3284,000;964,000;2804,000;1,000;0,036;0,092;0,030
SP00277;SP;4274,000;3219,000;1055,000;2691,000;1,000;0,037;0,092;0,031
SP00283;SP;4282,000;3227,000;1055,000;2653,000;1,000;0,038;0,092;0,031
SP00289;SP;3751,000;2887,000;864,000;2359,000;1,000;0,042;0,092;0,035
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,092;0,024
SP00310;SP;5928,000;4260,000;1668,000;3647,000;2,000;0,055;0,183;0,047
SP00311;SP;4745,000;3212,000;1533,000;2868,000;2,000;0,070;0,183;0,062
SP00315;SP;5861,000;4276,000;1585,000;3850,000;2,000;0,052;0,183;0,047
SP00316;SP;8808,000;6530,000;2278,000;5921,000;1,000;0,017;0,092;0,015
SP00320;SP;4504,000;3135,000;1369,000;2784,000;1,000;0,036;0,092;0,032
SP00321;SP;4314,000;3059,000;1255,000;2771,000;1,000;0,036;0,092;0,033
SP00322;SP;8258,000;5548,000;2710,000;4975,000;1,000;0,020;0,092;0,018
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,092;0,037
SP00324;SP;4770,000;3319,000;1451,000;2949,000;1,000;0,034;0,092;0,030
SP00325;SP;4286,000;3094,000;1192,000;2780,000;2,000;0,072;0,183;0,065
SP00328;SP;3718,000;2674,000;1044,000;2278,000;1,000;0,044;0,092;0,037
SP00334;SP;1713,000;1283,000;430,000;1116,000;1,000;0,090;0,092;0,078
SP00341;SP;3178,000;2297,000;881,000;2077,000;1,000;0,048;0,092;0,044
SP00343;SP;5204,000;3721,000;1483,000;3344,000;1,000;0,030;0,092;0,027
SP00344;SP;5849,000;4118,000;1731,000;3729,000;2,000;0,054;0,183;0,049
SP00345;SP;7886,000;5416,000;2470,000;4892,000;2,000;0,041;0,183;0,037
SP00347;SP;3164,000;2342,000;822,000;2145,000;1,000;0,047;0,092;0,043
SP00348;SP;4643,000;3365,000;1278,000;3024,000;1,000;0,033;0,092;0,030
SP00350;SP;1278,000;961,000;317,000;845,000;1,000;0,118;0,092;0,104
SP00353;SP;2983,000;2278,000;705,000;2068,000;1,000;0,048;0,092;0,044
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,092;0,019
SP00363;SP;6587,000;4335,000;2252,000;4017,000;2,000;0,050;0,183;0,046
SP00369;SP;4203,000;2956,000;1247,000;2789,000;1,000;0,036;0,092;0,034
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,092;0,018
SP00371;SP;7513,000;5272,000;2241,000;4897,000;1,000;0,020;0,092;0,019
SP00374;SP;4011,000;2670,000;1341,000;2516,000;1,000;0,040;0,092;0,037
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,092;0,030
SP00377;SP;4059,000;2893,000;1166,000;2693,000;1,000;0,037;0,092;0,035
SP00378;SP;3829,000;2734,000;1095,000;2571,000;1,000;0,039;0,092;0,037
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,092;0,033
SP00384;SP;2769,000;1971,000;798,000;1845,000;1,000;0,054;0,092;0,051
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,092;0,036
SP00394;SP;2651,000;1853,000;798,000;1621,000;1,000;0,062;0,092;0,054
SP00395;SP;7319,000;5036,000;2283,000;4255,000;1,000;0,024;0,092;0,020
SP00397;SP;4072,000;2894,000;1178,000;2418,000;1,000;0,041;0,092;0,035
SP00398;SP;2787,000;1796,000;991,000;1541,000;1,000;0,065;0,092;0,056
SP00405;SP;4680,000;3515,000;1165,000;3097,000;1,000;0,032;0,092;0,028
SP00408;SP;7217,000;5129,000;2088,000;4414,000;4,000;0,091;0,367;0,078
SP00413;SP;5079,000;3987,000;1092,000;3298,000;1,000;0,030;0,092;0,025
SP00414;SP;2489,000;1977,000;512,000;1655,000;1,000;0,060;0,092;0,051
SP00419;SP;4961,000;3484,000;1477,000;3096,000;1,000;0,032;0,092;0,029
SP00422;SP;10320,000;7595,000;2725,000;6744,000;2,000;0,030;0,183;0,026
SP00424;SP;4823,000;3449,000;1374,000;3041,000;1,000;0,033;0,092;0,029
SP00425;SP;6519,000;4845,000;1674,000;4356,000;4,000;0,092;0,367;0,083
SP00429;SP;5111,000;3592,000;1519,000;3236,000;2,000;0,062;0,183;0,056
SP00430;SP;8129,000;5971,000;2158,000;5396,000;2,000;0,037;0,183;0,033
SP00433;SP;4353,000;3211,000;1142,000;2911,000;3,000;0,103;0,275;0,093
SP00441;SP;4817,000;3411,000;1406,000;2965,000;2,000;0,067;0,183;0,059
SP00443;SP;5342,000;3920,000;1422,000;3502,000;1,000;0,029;0,092;0,026
SP00446;SP;7010,000;5463,000;1547,000;4823,000;2,000;0,041;0,183;0,037
SP00452;SP;3018,000;2212,000;806,000;1929,000;1,000;0,052;0,092;0,045
SP00454;SP;6000,000;4085,000;1915,000;3524,000;1,000;0,028;0,092;0,024
SP00455;SP;4145,000;2936,000;1209,000;2668,000;1,000;0,037;0,092;0,034
SP00462;SP;5168,000;3650,000;1518,000;3226,000;2,000;0,062;0,183;0,055
SP00466;SP;6038,000;4389,000;1649,000;3812,000;1,000;0,026;0,092;0,023
SP00467;SP;5303,000;3827,000;1476,000;3421,000;1,000;0,029;0,092;0,026
SP00469;SP;5448,000;3854,000;1594,000;3445,000;1,000;0,029;0,092;0,026
SP00471;SP;3265,000;2247,000;1018,000;1966,000;1,000;0,051;0,092;0,045
SP00472;SP;2507,000;1806,000;701,000;1593,000;1,000;0,063;0,092;0,055
SP00473;SP;5477,000;3996,000;1481,000;3538,000;1,000;0,028;0,092;0,025
SP00477;SP;2863,000;2003,000;860,000;1768,000;1,000;0,057;0,092;0,050
SP00482;SP;6633,000;4865,000;1768,000;4345,000;1,000;0,023;0,092;0,021
SP00484;SP;3212,000;2384,000;828,000;2097,000;1,000;0,048;0,092;0,042
SP00485;SP;1466,000;1071,000;395,000;957,000;1,000;0,104;0,092;0,093
SP00493;SP;1172,000;862,000;310,000;755,000;1,000;0,132;0,092;0,116
SP00496;SP;4579,000;3372,000;1207,000;3009,000;1,000;0,033;0,092;0,030
SP00499;SP;6834,000;4904,000;1930,000;4285,000;1,000;0,023;0,092;0,020
SP00500;SP;6586,000;4736,000;1850,000;4014,000;2,000;0,050;0,183;0,042
SP00501;SP;4776,000;3340,000;1436,000;2871,000;1,000;0,035;0,092;0,030
SP00503;SP;6619,000;4634,000;1985,000;4034,000;1,000;0,025;0,092;0,022
SP00508;SP;5317,000;3827,000;1490,000;3334,000;2,000;0,060;0,183;0,052
SP00512;SP;7389,000;5163,000;2226,000;4319,000;1,000;0,023;0,092;0,019
SP00513;SP;4106,000;2993,000;1113,000;2609,000;1,000;0,038;0,092;0,033
SP00514;SP;5514,000;3990,000;1524,000;3430,000;2,000;0,058;0,183;0,050
SP00515;SP;4792,000;3544,000;1248,000;3046,000;2,000;0,066;0,183;0,056
SP00519;SP;5846,000;4121,000;1725,000;3509,000;2,000;0,057;0,183;0,049
SP00524;SP;2811,000;2096,000;715,000;1775,000;1,000;0,056;0,092;0,048
SP00527;SP;3105,000;2475,000;630,000;2136,000;1,000;0,047;0,092;0,040
SP00531;SP;6972,000;5267,000;1705,000;4395,000;3,000;0,068;0,275;0,057
SP00534;SP;4351,000;3409,000;942,000;3003,000;2,000;0,067;0,183;0,059
SP00535;SP;4936,000;3367,000;1569,000;2995,000;1,000;0,033;0,092;0,030
SP00536;SP;6329,000;4580,000;1749,000;3965,000;1,000;0,025;0,092;0,022
SP00538;SP;5278,000;3612,000;1666,000;3064,000;2,000;0,065;0,183;0,055
SP00539;SP;5948,000;4112,000;1836,000;3697,000;2,000;0,054;0,183;0,049
SP00544;SP;5536,000;3707,000;1829,000;3265,000;1,000;0,031;0,092;0,027
SP00546;SP;4580,000;3085,000;1495,000;2705,000;1,000;0,037;0,092;0,032
SP00549;SP;5928,000;4010,000;1918,000;3526,000;2,000;0,057;0,183;0,050
SP00551;SP;4597,000;3270,000;1327,000;2815,000;3,000;0,107;0,275;0,092
SP00552;SP;5887,000;3978,000;1909,000;3352,000;1,000;0,030;0,092;0,025
SP00559;SP;6869,000;5121,000;1748,000;4262,000;1,000;0,023;0,092;0,020
SP00562;SP;3269,000;2452,000;817,000;2120,000;1,000;0,047;0,092;0,041
SP00563;SP;3945,000;2921,000;1024,000;2409,000;1,000;0,042;0,092;0,034
SP00564;SP;6019,000;4389,000;1630,000;3561,000;1,000;0,028;0,092;0,023
SP00567;SP;3964,000;2865,000;1099,000;2570,000;1,000;0,039;0,092;0,035
SP00569;SP;2316,000;1676,000;640,000;1426,000;1,000;0,070;0,092;0,060
SP00577;SP;8415,000;5842,000;2573,000;5257,000;3,000;0,057;0,275;0,051
SP00578;SP;2949,000;2238,000;711,000;2000,000;1,000;0,050;0,092;0,045
SP00582;SP;4259,000;3081,000;1178,000;2707,000;1,000;0,037;0,092;0,032
SP00584;SP;2542,000;1782,000;760,000;1552,000;1,000;0,064;0,092;0,056
SP00585;SP;4746,000;3318,000;1428,000;2911,000;1,000;0,034;0,092;0,030
SP00588;SP;5167,000;3521,000;1646,000;3105,000;1,000;0,032;0,092;0,028
SP00590;SP;7580,000;5281,000;2299,000;4546,000;1,000;0,022;0,092;0,019
SP00591;SP;6263,000;4400,000;1863,000;3772,000;1,000;0,027;0,092;0,023
SP00599;SP;6251,000;4342,000;1909,000;3651,000;2,000;0,055;0,183;0,046
SP00600;SP;4185,000;3069,000;1116,000;2605,000;1,000;0,038;0,092;0,033
SP00613;SP;1184,000;914,000;270,000;787,000;1,000;0,127;0,092;0,109
SP00614;SP;6485,000;4910,000;1575,000;4153,000;1,000;0,024;0,092;0,020
SP00616;SP;3937,000;3054,000;883,000;2687,000;1,000;0,037;0,092;0,033
SP00622;SP;8525,000;5893,000;2632,000;5358,000;4,000;0,075;0,367;0,068
SP00624;SP;6339,000;4326,000;2013,000;3981,000;1,000;0,025;0,092;0,023
SP00625;SP;10784,000;7630,000;3154,000;7038,000;1,000;0,014;0,092;0,013
SP00626;SP;6265,000;4313,000;1952,000;3939,000;1,000;0,025;0,092;0,023
SP00628;SP;7913,000;5698,000;2215,000;5302,000;1,000;0,019;0,092;0,018
SP00630;SP;5514,000;3774,000;1740,000;3466,000;1,000;0,029;0,092;0,026
SP00631;SP;2522,000;1571,000;951,000;1400,000;1,000;0,071;0,092;0,064
SP00632;SP;9851,000;7134,000;2717,000;6537,000;2,000;0,031;0,183;0,028
SP00633;SP;3955,000;2796,000;1159,000;2560,000;1,000;0,039;0,092;0,036
SP00634;SP;6679,000;4545,000;2134,000;4143,000;1,000;0,024;0,092;0,022
SP00636;SP;7155,000;4893,000;2262,000;4473,000;1,000;0,022;0,092;0,020
SP00637;SP;5885,000;3783,000;2102,000;3470,000;1,000;0,029;0,092;0,026
SP00638;SP;6804,000;4640,000;2164,000;4208,000;1,000;0,024;0,092;0,022
SP00645;SP;3823,000;2661,000;1162,000;2407,000;1,000;0,042;0,092;0,038
SP00646;SP;3531,000;2581,000;950,000;2320,000;1,000;0,043;0,092;0,039
SP00648;SP;3841,000;2877,000;964,000;2605,000;2,000;0,077;0,183;0,070
SP00649;SP;2648,000;1982,000;666,000;1760,000;1,000;0,057;0,092;0,050
SP00650;SP;4689,000;3535,000;1154,000;3191,000;2,000;0,063;0,183;0,057
SP00652;SP;4711,000;3356,000;1355,000;2915,000;2,000;0,069;0,183;0,060
SP00654;SP;5621,000;3951,000;1670,000;3632,000;1,000;0,028;0,092;0,025
SP00655;SP;4274,000;3048,000;1226,000;2819,000;1,000;0,035;0,092;0,033
SP00656;SP;7540,000;5423,000;2117,000;4936,000;2,000;0,041;0,183;0,037
SP00658;SP;4399,000;3055,000;1344,000;2774,000;1,000;0,036;0,092;0,033
SP00664;SP;4189,000;2951,000;1238,000;2669,000;1,000;0,037;0,092;0,034
SP00666;SP;4794,000;3234,000;1560,000;2902,000;1,000;0,034;0,092;0,031
SP00671;SP;7344,000;4961,000;2383,000;4380,000;1,000;0,023;0,092;0,020
SP00672;SP;5404,000;3859,000;1545,000;3453,000;1,000;0,029;0,092;0,026
SP00674;SP;3396,000;2582,000;814,000;2220,000;1,000;0,045;0,092;0,039
SP00676;SP;3751,000;2837,000;914,000;2529,000;2,000;0,079;0,183;0,070
SP00680;SP;11486,000;8694,000;2792,000;7821,000;2,000;0,026;0,183;0,023
SP00681;SP;5137,000;3903,000;1234,000;3542,000;1,000;0,028;0,092;0,026
SP00683;SP;5169,000;3990,000;1179,000;3629,000;1,000;0,028;0,092;0,025
SP00686;SP;9715,000;6586,000;3129,000;5733,000;2,000;0,035;0,183;0,030
SP00688;SP;4013,000;2804,000;1209,000;2484,000;1,000;0,040;0,092;0,036
SP00690;SP;5510,000;3819,000;1691,000;3318,000;1,000;0,030;0,092;0,026
SP00692;SP;8151,000;5848,000;2303,000;5192,000;1,000;0,019;0,092;0,017
SP00694;SP;8474,000;6228,000;2246,000;5583,000;2,000;0,036;0,183;0,032
SP00695;SP;5738,000;3934,000;1804,000;3443,000;2,000;0,058;0,183;0,051
SP00698;SP;4269,000;3022,000;1247,000;2595,000;1,000;0,039;0,092;0,033
SP00700;SP;2038,000;1296,000;742,000;1148,000;2,000;0,174;0,183;0,154
SP00701;SP;4091,000;3020,000;1071,000;2626,000;1,000;0,038;0,092;0,033
SP00703;SP;3713,000;2640,000;1073,000;2200,000;1,000;0,045;0,092;0,038
SP00706;SP;5478,000;3976,000;1502,000;3402,000;3,000;0,088;0,275;0,075
SP00707;SP;6988,000;4980,000;2008,000;4238,000;1,000;0,024;0,092;0,020
SP00709;SP;5869,000;4162,000;1707,000;3614,000;1,000;0,028;0,092;0,024
SP00710;SP;3923,000;2817,000;1106,000;2427,000;1,000;0,041;0,092;0,035
SP00711;SP;4783,000;3500,000;1283,000;3017,000;2,000;0,066;0,183;0,057
SP00713;SP;5464,000;4097,000;1367,000;3538,000;1,000;0,028;0,092;0,024
SP00715;SP;4628,000;3619,000;1009,000;3057,000;3,000;0,098;0,275;0,083
SP00716;SP;6085,000;4740,000;1345,000;4111,000;4,000;0,097;0,367;0,084
SP00717;SP;5351,000;4130,000;1221,000;3567,000;2,000;0,056;0,183;0,048
SP00718;SP;3625,000;2512,000;1113,000;2090,000;1,000;0,048;0,092;0,040
SP00722;SP;3108,000;2416,000;692,000;2060,000;1,000;0,049;0,092;0,041
SP00723;SP;5496,000;4095,000;1401,000;3502,000;2,000;0,057;0,183;0,049
SP00724;SP;3664,000;2699,000;965,000;2432,000;1,000;0,041;0,092;0,037
SP00728;SP;4919,000;3629,000;1290,000;3093,000;1,000;0,032;0,092;0,028
SP00734;SP;3871,000;2912,000;959,000;2509,000;1,000;0,040;0,092;0,034
SP00735;SP;5909,000;4419,000;1490,000;3878,000;2,000;0,052;0,183;0,045
SP00737;SP;6265,000;4846,000;1419,000;4149,000;1,000;0,024;0,092;0,021
SP00738;SP;8744,000;6776,000;1968,000;5693,000;1,000;0,018;0,092;0,015
SP00755;SP;2817,000;2116,000;701,000;1822,000;1,000;0,055;0,092;0,047
SP00765;SP;8135,000;5621,000;2514,000;4929,000;1,000;0,020;0,092;0,018
SP00766;SP;7053,000;4968,000;2085,000;4402,000;2,000;0,045;0,183;0,040
SP00771;SP;7436,000;5164,000;2272,000;4500,000;2,000;0,044;0,183;0,039
SP00773;SP;6264,000;4426,000;1838,000;3805,000;1,000;0,026;0,092;0,023
SP00774;SP;7854,000;5792,000;2062,000;5026,000;1,000;0,020;0,092;0,017
SP00776;SP;6598,000;4696,000;1902,000;4003,000;1,000;0,025;0,092;0,021
SP00777;SP;5853,000;4038,000;1815,000;3381,000;2,000;0,059;0,183;0,050
SP00779;SP;7813,000;5789,000;2024,000;4877,000;1,000;0,021;0,092;0,017
SP00780;SP;3820,000;2943,000;877,000;2559,000;1,000;0,039;0,092;0,034
SP00781;SP;4179,000;2991,000;1188,000;2524,000;1,000;0,040;0,092;0,033
SP00782;SP;6626,000;4932,000;1694,000;4068,000;1,000;0,025;0,092;0,020
SP00785;SP;1882,000;1434,000;448,000;1271,000;1,000;0,079;0,092;0,070
SP00786;SP;4539,000;3402,000;1137,000;2835,000;1,000;0,035;0,092;0,029
SP00789;SP;1625,000;1189,000;436,000;1067,000;3,000;0,281;0,275;0,252
SP00799;SP;7792,000;5629,000;2163,000;4646,000;2,000;0,043;0,183;0,036
SP00805;SP;6882,000;4879,000;2003,000;4246,000;1,000;0,024;0,092;0,020
SP00806;SP;5119,000;3556,000;1563,000;3097,000;1,000;0,032;0,092;0,028
SP00810;SP;4312,000;3025,000;1287,000;2622,000;1,000;0,038;0,092;0,033
SP00815;SP;4827,000;3371,000;1456,000;2943,000;1,000;0,034;0,092;0,030
