CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;1,000;0,016;0,099;0,015
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,099;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,099;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;3,000;0,070;0,297;0,062
SP00007;SP;9748,000;5727,000;4021,000;5077,000;3,000;0,059;0,297;0,052
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,099;0,037
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,099;0,017
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,198;0,038
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,099;0,034
SP00014;SP;7153,000;4433,000;2720,000;3934,000;5,000;0,127;0,496;0,113
SP00016;SP;4976,000;3125,000;1851,000;2763,000;4,000;0,145;0,396;0,128
SP00018;SP;5238,000;3256,000;1982,000;2906,000;5,000;0,172;0,496;0,154
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,099;0,028
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;0,198;0,073
SP00022;SP;5474,000;3858,000;1616,000;3218,000;7,000;0,218;0,694;0,181
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,099;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,099;0,008
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,099;0,023
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,099;0,031
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,099;0,018
SP00042;SP;3797,000;2921,000;876,000;2677,000;1,000;0,037;0,099;0,034
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,099;0,046
SP00046;SP;8211,000;6097,000;2114,000;5678,000;1,000;0,018;0,099;0,016
SP00048;SP;5609,000;4361,000;1248,000;4021,000;2,000;0,050;0,198;0,046
SP00050;SP;1956,000;1443,000;513,000;1344,000;1,000;0,074;0,099;0,069
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,099;0,016
SP00053;SP;6007,000;3594,000;2413,000;3140,000;2,000;0,064;0,198;0,056
SP00054;SP;5696,000;3753,000;1943,000;3197,000;2,000;0,063;0,198;0,053
SP00056;SP;5794,000;3640,000;2154,000;3156,000;2,000;0,063;0,198;0,055
SP00059;SP;6072,000;4040,000;2032,000;3525,000;3,000;0,085;0,297;0,074
SP00060;SP;6204,000;4150,000;2054,000;3582,000;1,000;0,028;0,099;0,024
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,099;0,029
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,099;0,032
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,099;0,065
SP00076;SP;7781,000;5170,000;2611,000;4521,000;3,000;0,066;0,297;0,058
SP00081;SP;4985,000;3194,000;1791,000;2755,000;2,000;0,073;0,198;0,063
SP00084;SP;8514,000;5960,000;2554,000;5282,000;6,000;0,114;0,595;0,101
SP00089;SP;6261,000;4229,000;2032,000;3816,000;1,000;0,026;0,099;0,024
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,099;0,030
SP00102;SP;4710,000;2822,000;1888,000;2446,000;2,000;0,082;0,198;0,071
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,099;0,058
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;0,198;0,023
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,198;0,025
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,099;0,018
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,099;0,038
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,099;0,017
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,099;0,020
SP00130;SP;7718,000;5325,000;2393,000;4865,000;2,000;0,041;0,198;0,038
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,099;0,015
SP00139;SP;7945,000;5514,000;2431,000;4905,000;3,000;0,061;0,297;0,054
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,099;0,026
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,099;0,025
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,099;0,019
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,099;0,039
SP00151;SP;4988,000;3688,000;1300,000;3066,000;2,000;0,065;0,198;0,054
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,099;0,023
SP00156;SP;7080,000;4869,000;2211,000;4038,000;2,000;0,050;0,198;0,041
SP00160;SP;7072,000;5254,000;1818,000;4369,000;1,000;0,023;0,099;0,019
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,099;0,020
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,099;0,033
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,099;0,020
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,099;0,037
SP00171;SP;6293,000;4730,000;1563,000;3938,000;2,000;0,051;0,198;0,042
SP00172;SP;4627,000;3517,000;1110,000;2935,000;2,000;0,068;0,198;0,057
SP00173;SP;1568,000;1128,000;440,000;942,000;1,000;0,106;0,099;0,089
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,099;0,031
SP00176;SP;4725,000;3530,000;1195,000;2946,000;2,000;0,068;0,198;0,057
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,099;0,022
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,099;0,016
SP00179;SP;3023,000;2176,000;847,000;1776,000;1,000;0,056;0,099;0,046
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,099;0,031
SP00189;SP;5717,000;3833,000;1884,000;3381,000;2,000;0,059;0,198;0,052
SP00190;SP;9191,000;6215,000;2976,000;5565,000;3,000;0,054;0,297;0,048
SP00192;SP;3326,000;2267,000;1059,000;2028,000;1,000;0,049;0,099;0,044
SP00194;SP;8615,000;6268,000;2347,000;5780,000;1,000;0,017;0,099;0,016
SP00195;SP;3523,000;2306,000;1217,000;2013,000;3,000;0,149;0,297;0,130
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,099;0,014
SP00201;SP;9459,000;6572,000;2887,000;5989,000;2,000;0,033;0,198;0,030
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,099;0,018
SP00206;SP;3004,000;2207,000;797,000;2000,000;1,000;0,050;0,099;0,045
SP00209;SP;4117,000;3042,000;1075,000;2774,000;1,000;0,036;0,099;0,033
SP00212;SP;5586,000;4124,000;1462,000;3719,000;2,000;0,054;0,198;0,048
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,099;0,026
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;0,099;0,021
SP00230;SP;4442,000;3139,000;1303,000;2668,000;2,000;0,075;0,198;0,064
