CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,240;0,030
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,120;0,017
SP00010;SP;9269,000;6039,000;3230,000;5553,000;2,000;0,036;0,240;0,033
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,120;0,019
SP00021;SP;3914,000;2744,000;1170,000;2386,000;1,000;0,042;0,120;0,036
SP00022;SP;5474,000;3858,000;1616,000;3218,000;1,000;0,031;0,120;0,026
SP00043;SP;3049,000;2192,000;857,000;1985,000;1,000;0,050;0,120;0,046
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,240;0,035
SP00047;SP;4672,000;3348,000;1324,000;3050,000;1,000;0,033;0,120;0,030
SP00055;SP;8226,000;5391,000;2835,000;4660,000;2,000;0,043;0,240;0,037
SP00058;SP;5387,000;3548,000;1839,000;3095,000;2,000;0,065;0,240;0,056
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,120;0,034
SP00070;SP;4221,000;2997,000;1224,000;2670,000;2,000;0,075;0,240;0,067
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,240;0,020
SP00074;SP;4599,000;3060,000;1539,000;2770,000;1,000;0,036;0,120;0,033
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,120;0,022
SP00082;SP;2042,000;1343,000;699,000;1191,000;1,000;0,084;0,120;0,074
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,120;0,011
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,120;0,018
SP00092;SP;8010,000;5674,000;2336,000;5030,000;1,000;0,020;0,120;0,018
SP00094;SP;3713,000;2680,000;1033,000;2357,000;3,000;0,127;0,360;0,112
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,120;0,012
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,120;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,120;0,015
SP00130;SP;7718,000;5325,000;2393,000;4865,000;1,000;0,021;0,120;0,019
SP00131;SP;5037,000;3622,000;1415,000;3345,000;1,000;0,030;0,120;0,028
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,120;0,015
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,120;0,018
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,120;0,033
SP00145;SP;4652,000;3551,000;1101,000;3217,000;1,000;0,031;0,120;0,028
SP00147;SP;7272,000;5483,000;1789,000;5016,000;1,000;0,020;0,120;0,018
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,120;0,027
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,120;0,033
SP00179;SP;3023,000;2176,000;847,000;1776,000;1,000;0,056;0,120;0,046
SP00191;SP;4893,000;3386,000;1507,000;3120,000;1,000;0,032;0,120;0,030
SP00200;SP;4987,000;3648,000;1339,000;3251,000;1,000;0,031;0,120;0,027
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,120;0,052
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,120;0,030
SP00225;SP;4793,000;3416,000;1377,000;2882,000;3,000;0,104;0,360;0,088
SP00229;SP;6362,000;4716,000;1646,000;4007,000;8,000;0,200;0,959;0,170
SP00230;SP;4442,000;3139,000;1303,000;2668,000;1,000;0,037;0,120;0,032
SP00231;SP;4477,000;3485,000;992,000;2989,000;3,000;0,100;0,360;0,086
SP00236;SP;4570,000;3488,000;1082,000;2996,000;1,000;0,033;0,120;0,029
SP00238;SP;6012,000;4671,000;1341,000;3951,000;2,000;0,051;0,240;0,043
SP00240;SP;3251,000;2449,000;802,000;2056,000;2,000;0,097;0,240;0,082
SP00241;SP;3798,000;2913,000;885,000;2413,000;1,000;0,041;0,120;0,034
SP00242;SP;4031,000;3017,000;1014,000;2461,000;7,000;0,284;0,839;0,232
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,120;0,037
SP00244;SP;1594,000;1206,000;388,000;978,000;1,000;0,102;0,120;0,083
SP00249;SP;3623,000;2627,000;996,000;2284,000;2,000;0,088;0,240;0,076
SP00250;SP;4023,000;3125,000;898,000;2566,000;1,000;0,039;0,120;0,032
SP00252;SP;4288,000;3078,000;1210,000;2638,000;3,000;0,114;0,360;0,097
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,120;0,020
SP00256;SP;4254,000;3283,000;971,000;2674,000;1,000;0,037;0,120;0,030
SP00257;SP;5556,000;4081,000;1475,000;3166,000;1,000;0,032;0,120;0,025
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,120;0,021
SP00265;SP;5313,000;3854,000;1459,000;3315,000;1,000;0,030;0,120;0,026
SP00268;SP;6330,000;4415,000;1915,000;3742,000;1,000;0,027;0,120;0,023
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,120;0,021
SP00275;SP;4248,000;3284,000;964,000;2804,000;1,000;0,036;0,120;0,030
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,120;0,021
SP00292;SP;3524,000;2286,000;1238,000;2056,000;1,000;0,049;0,120;0,044
SP00293;SP;2607,000;1718,000;889,000;1522,000;1,000;0,066;0,120;0,058
SP00295;SP;4636,000;3029,000;1607,000;2673,000;1,000;0,037;0,120;0,033
