CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,321;0,024
SP00008;SP;4250,000;2710,000;1540,000;2422,000;1,000;0,041;0,321;0,037
SP00010;SP;9269,000;6039,000;3230,000;5553,000;1,000;0,018;0,321;0,017
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,321;0,031
SP00020;SP;1562,000;1060,000;502,000;914,000;2,000;0,219;0,641;0,189
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,321;0,052
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,641;0,035
SP00051;SP;9919,000;6324,000;3595,000;5895,000;1,000;0,017;0,321;0,016
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,321;0,025
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,321;0,029
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,321;0,024
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,321;0,022
SP00079;SP;6753,000;5126,000;1627,000;4484,000;1,000;0,022;0,321;0,020
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,321;0,018
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,321;0,024
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,321;0,021
SP00100;SP;4225,000;2928,000;1297,000;2539,000;1,000;0,039;0,321;0,034
SP00108;SP;7706,000;4996,000;2710,000;4672,000;1,000;0,021;0,321;0,020
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,321;0,014
SP00139;SP;7945,000;5514,000;2431,000;4905,000;1,000;0,020;0,321;0,018
SP00157;SP;1487,000;928,000;559,000;782,000;1,000;0,128;0,321;0,108
SP00172;SP;4627,000;3517,000;1110,000;2935,000;2,000;0,068;0,641;0,057
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,321;0,016
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,321;0,030
SP00198;SP;9846,000;7057,000;2789,000;6333,000;1,000;0,016;0,321;0,014
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,321;0,015
SP00202;SP;7973,000;5469,000;2504,000;5015,000;1,000;0,020;0,321;0,018
SP00203;SP;7005,000;4837,000;2168,000;4332,000;1,000;0,023;0,321;0,021
SP00224;SP;4682,000;3295,000;1387,000;2841,000;1,000;0,035;0,321;0,030
SP00229;SP;6362,000;4716,000;1646,000;4007,000;1,000;0,025;0,321;0,021
SP00232;SP;6760,000;5102,000;1658,000;4371,000;1,000;0,023;0,321;0,020
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,321;0,025
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,321;0,012
SP00266;SP;6960,000;5099,000;1861,000;4318,000;2,000;0,046;0,641;0,039
SP00271;SP;6516,000;4689,000;1827,000;3929,000;1,000;0,025;0,321;0,021
SP00280;SP;6493,000;4855,000;1638,000;3966,000;1,000;0,025;0,321;0,021
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,321;0,030
SP00296;SP;2387,000;1583,000;804,000;1433,000;1,000;0,070;0,321;0,063
SP00311;SP;4745,000;3212,000;1533,000;2868,000;2,000;0,070;0,641;0,062
SP00313;SP;5494,000;4051,000;1443,000;3634,000;1,000;0,028;0,321;0,025
SP00316;SP;8808,000;6530,000;2278,000;5921,000;3,000;0,051;0,962;0,046
SP00365;SP;5757,000;3680,000;2077,000;3504,000;3,000;0,086;0,962;0,082
SP00370;SP;7693,000;5691,000;2002,000;5410,000;1,000;0,018;0,321;0,018
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,321;0,028
