CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;4,000;0,066;0,540;0,060
SP00002;SP;8476,000;5539,000;2937,000;5059,000;2,000;0,040;0,270;0,036
SP00003;SP;6223,000;3562,000;2661,000;3191,000;4,000;0,125;0,540;0,112
SP00004;SP;6071,000;4117,000;1954,000;3653,000;2,000;0,055;0,270;0,049
SP00005;SP;7574,000;4851,000;2723,000;4286,000;4,000;0,093;0,540;0,082
SP00006;SP;6187,000;4196,000;1991,000;3800,000;1,000;0,026;0,135;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,135;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;2,000;0,056;0,270;0,052
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,270;0,038
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,135;0,016
SP00013;SP;4269,000;2958,000;1311,000;2742,000;2,000;0,073;0,270;0,068
SP00014;SP;7153,000;4433,000;2720,000;3934,000;3,000;0,076;0,405;0,068
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,135;0,031
SP00016;SP;4976,000;3125,000;1851,000;2763,000;1,000;0,036;0,135;0,032
SP00019;SP;4798,000;3546,000;1252,000;3272,000;2,000;0,061;0,270;0,056
SP00020;SP;1562,000;1060,000;502,000;914,000;1,000;0,109;0,135;0,094
SP00021;SP;3914,000;2744,000;1170,000;2386,000;4,000;0,168;0,540;0,146
SP00025;SP;3193,000;2227,000;966,000;2052,000;4,000;0,195;0,540;0,180
SP00029;SP;17797,000;12599,000;5198,000;11769,000;6,000;0,051;0,810;0,048
SP00032;SP;11991,000;8507,000;3484,000;8030,000;7,000;0,087;0,945;0,082
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,135;0,019
SP00036;SP;6716,000;4776,000;1940,000;4457,000;1,000;0,022;0,135;0,021
SP00037;SP;5446,000;3922,000;1524,000;3606,000;3,000;0,083;0,405;0,076
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,135;0,018
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,135;0,018
SP00041;SP;4585,000;3191,000;1394,000;2950,000;1,000;0,034;0,135;0,031
SP00045;SP;3377,000;2532,000;845,000;2298,000;1,000;0,044;0,135;0,039
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,135;0,050
SP00051;SP;9919,000;6324,000;3595,000;5895,000;3,000;0,051;0,405;0,047
SP00066;SP;2941,000;1926,000;1015,000;1623,000;1,000;0,062;0,135;0,052
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,135;0,024
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,135;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,270;0,020
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,135;0,022
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,135;0,011
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,135;0,018
SP00105;SP;3570,000;2330,000;1240,000;2184,000;5,000;0,229;0,675;0,215
SP00106;SP;4729,000;3001,000;1728,000;2772,000;3,000;0,108;0,405;0,100
SP00107;SP;5091,000;3438,000;1653,000;3201,000;11,000;0,344;1,484;0,320
SP00108;SP;7706,000;4996,000;2710,000;4672,000;9,000;0,193;1,215;0,180
SP00109;SP;3531,000;2268,000;1263,000;2068,000;8,000;0,387;1,080;0,353
SP00110;SP;4331,000;2860,000;1471,000;2625,000;5,000;0,190;0,675;0,175
SP00111;SP;5405,000;3713,000;1692,000;3463,000;48,000;1,386;6,478;1,293
SP00112;SP;5370,000;3564,000;1806,000;3242,000;4,000;0,123;0,540;0,112
SP00113;SP;4368,000;2914,000;1454,000;2731,000;3,000;0,110;0,405;0,103
SP00114;SP;11524,000;7280,000;4244,000;6663,000;14,000;0,210;1,889;0,192
SP00115;SP;6789,000;4670,000;2119,000;4276,000;20,000;0,468;2,699;0,428
SP00116;SP;13458,000;8809,000;4649,000;8195,000;6,000;0,073;0,810;0,068
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,135;0,012
SP00118;SP;11540,000;7496,000;4044,000;6933,000;5,000;0,072;0,675;0,067
SP00119;SP;8699,000;5629,000;3070,000;5241,000;2,000;0,038;0,270;0,036
SP00120;SP;7492,000;5053,000;2439,000;4694,000;12,000;0,256;1,619;0,237
SP00121;SP;4046,000;2658,000;1388,000;2420,000;4,000;0,165;0,540;0,150
SP00122;SP;2338,000;1648,000;690,000;1510,000;4,000;0,265;0,540;0,243
SP00123;SP;2390,000;1759,000;631,000;1653,000;5,000;0,302;0,675;0,284
SP00124;SP;5471,000;3750,000;1721,000;3417,000;1,000;0,029;0,135;0,027
SP00125;SP;8768,000;6055,000;2713,000;5539,000;1,000;0,018;0,135;0,017
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,135;0,036
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,135;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;6,000;0,102;0,810;0,092
SP00129;SP;8021,000;5609,000;2412,000;5146,000;2,000;0,039;0,270;0,036
SP00130;SP;7718,000;5325,000;2393,000;4865,000;4,000;0,082;0,540;0,075
SP00131;SP;5037,000;3622,000;1415,000;3345,000;2,000;0,060;0,270;0,055
SP00136;SP;9241,000;6497,000;2744,000;5815,000;2,000;0,034;0,270;0,031
SP00139;SP;7945,000;5514,000;2431,000;4905,000;2,000;0,041;0,270;0,036
SP00140;SP;5793,000;3889,000;1904,000;3467,000;1,000;0,029;0,135;0,026
SP00143;SP;8101,000;5686,000;2415,000;5122,000;3,000;0,059;0,405;0,053
SP00144;SP;5788,000;3963,000;1825,000;3611,000;1,000;0,028;0,135;0,025
SP00147;SP;7272,000;5483,000;1789,000;5016,000;3,000;0,060;0,405;0,055
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,135;0,039
SP00153;SP;6503,000;4705,000;1798,000;3830,000;1,000;0,026;0,135;0,021
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,135;0,021
SP00159;SP;8207,000;5759,000;2448,000;4847,000;1,000;0,021;0,135;0,017
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,135;0,018
SP00162;SP;7705,000;5622,000;2083,000;4624,000;1,000;0,022;0,135;0,018
SP00169;SP;6507,000;4898,000;1609,000;3997,000;5,000;0,125;0,675;0,102
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,135;0,050
SP00181;SP;1188,000;823,000;365,000;662,000;1,000;0,151;0,135;0,122
SP00189;SP;5717,000;3833,000;1884,000;3381,000;1,000;0,030;0,135;0,026
SP00191;SP;4893,000;3386,000;1507,000;3120,000;4,000;0,128;0,540;0,118
SP00192;SP;3326,000;2267,000;1059,000;2028,000;1,000;0,049;0,135;0,044
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,135;0,033
SP00194;SP;8615,000;6268,000;2347,000;5780,000;3,000;0,052;0,405;0,048
SP00201;SP;9459,000;6572,000;2887,000;5989,000;1,000;0,017;0,135;0,015
SP00202;SP;7973,000;5469,000;2504,000;5015,000;2,000;0,040;0,270;0,037
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,135;0,029
SP00205;SP;3126,000;2267,000;859,000;2107,000;1,000;0,047;0,135;0,044
SP00214;SP;5779,000;4297,000;1482,000;3759,000;1,000;0,027;0,135;0,023
SP00253;SP;6617,000;5105,000;1512,000;4218,000;1,000;0,024;0,135;0,020
SP00264;SP;6606,000;4757,000;1849,000;3973,000;1,000;0,025;0,135;0,021
SP00302;SP;5488,000;4163,000;1325,000;3804,000;1,000;0,026;0,135;0,024
SP00316;SP;8808,000;6530,000;2278,000;5921,000;2,000;0,034;0,270;0,031
SP00325;SP;4286,000;3094,000;1192,000;2780,000;2,000;0,072;0,270;0,065
SP00326;SP;3933,000;2749,000;1184,000;2471,000;1,000;0,040;0,135;0,036
SP00336;SP;3224,000;2282,000;942,000;1932,000;1,000;0,052;0,135;0,044
SP00341;SP;3178,000;2297,000;881,000;2077,000;1,000;0,048;0,135;0,044
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,135;0,027
SP00352;SP;2374,000;1814,000;560,000;1639,000;1,000;0,061;0,135;0,055
SP00356;SP;6871,000;5190,000;1681,000;4713,000;1,000;0,021;0,135;0,019
SP00362;SP;1767,000;1220,000;547,000;1081,000;1,000;0,093;0,135;0,082
SP00365;SP;5757,000;3680,000;2077,000;3504,000;10,000;0,285;1,350;0,272
SP00366;SP;5574,000;3886,000;1688,000;3655,000;1,000;0,027;0,135;0,026
SP00368;SP;4441,000;3045,000;1396,000;2778,000;1,000;0,036;0,135;0,033
SP00369;SP;4203,000;2956,000;1247,000;2789,000;6,000;0,215;0,810;0,203
SP00370;SP;7693,000;5691,000;2002,000;5410,000;2,000;0,037;0,270;0,035
SP00371;SP;7513,000;5272,000;2241,000;4897,000;1,000;0,020;0,135;0,019
SP00372;SP;5891,000;3989,000;1902,000;3708,000;2,000;0,054;0,270;0,050
SP00374;SP;4011,000;2670,000;1341,000;2516,000;4,000;0,159;0,540;0,150
SP00376;SP;4805,000;3354,000;1451,000;3098,000;1,000;0,032;0,135;0,030
SP00377;SP;4059,000;2893,000;1166,000;2693,000;2,000;0,074;0,270;0,069
SP00378;SP;3829,000;2734,000;1095,000;2571,000;2,000;0,078;0,270;0,073
SP00380;SP;4357,000;2944,000;1413,000;2747,000;3,000;0,109;0,405;0,102
SP00381;SP;4728,000;3340,000;1388,000;3119,000;2,000;0,064;0,270;0,060
SP00384;SP;2769,000;1971,000;798,000;1845,000;3,000;0,163;0,405;0,152
SP00385;SP;3955,000;2825,000;1130,000;2607,000;2,000;0,077;0,270;0,071
SP00386;SP;2170,000;1708,000;462,000;1625,000;1,000;0,062;0,135;0,059
SP00387;SP;3215,000;2482,000;733,000;2310,000;1,000;0,043;0,135;0,040
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,135;0,028
SP00419;SP;4961,000;3484,000;1477,000;3096,000;1,000;0,032;0,135;0,029
SP00422;SP;10320,000;7595,000;2725,000;6744,000;1,000;0,015;0,135;0,013
SP00425;SP;6519,000;4845,000;1674,000;4356,000;1,000;0,023;0,135;0,021
SP00427;SP;4605,000;3414,000;1191,000;3042,000;2,000;0,066;0,270;0,059
SP00428;SP;5397,000;3698,000;1699,000;3296,000;1,000;0,030;0,135;0,027
SP00432;SP;3964,000;2754,000;1210,000;2401,000;1,000;0,042;0,135;0,036
SP00437;SP;4783,000;3440,000;1343,000;3049,000;1,000;0,033;0,135;0,029
SP00439;SP;3746,000;2751,000;995,000;2414,000;2,000;0,083;0,270;0,073
SP00450;SP;4825,000;3770,000;1055,000;3407,000;1,000;0,029;0,135;0,027
SP00468;SP;5330,000;3854,000;1476,000;3503,000;1,000;0,029;0,135;0,026
SP00515;SP;4792,000;3544,000;1248,000;3046,000;1,000;0,033;0,135;0,028
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,135;0,052
