CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;9,000;0,148;0,523;0,136
SP00002;SP;8476,000;5539,000;2937,000;5059,000;7,000;0,138;0,407;0,126
SP00003;SP;6223,000;3562,000;2661,000;3191,000;2,000;0,063;0,116;0,056
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,058;0,024
SP00005;SP;7574,000;4851,000;2723,000;4286,000;1,000;0,023;0,058;0,021
SP00006;SP;6187,000;4196,000;1991,000;3800,000;2,000;0,053;0,116;0,048
SP00007;SP;9748,000;5727,000;4021,000;5077,000;4,000;0,079;0,232;0,070
SP00008;SP;4250,000;2710,000;1540,000;2422,000;2,000;0,083;0,116;0,074
SP00009;SP;5809,000;3876,000;1933,000;3552,000;1,000;0,028;0,058;0,026
SP00010;SP;9269,000;6039,000;3230,000;5553,000;4,000;0,072;0,232;0,066
SP00011;SP;7822,000;5249,000;2573,000;4769,000;6,000;0,126;0,348;0,114
SP00012;SP;9441,000;6116,000;3325,000;5498,000;4,000;0,073;0,232;0,065
SP00013;SP;4269,000;2958,000;1311,000;2742,000;2,000;0,073;0,116;0,068
SP00014;SP;7153,000;4433,000;2720,000;3934,000;3,000;0,076;0,174;0,068
SP00016;SP;4976,000;3125,000;1851,000;2763,000;2,000;0,072;0,116;0,064
SP00017;SP;6847,000;4140,000;2707,000;3704,000;2,000;0,054;0,116;0,048
SP00019;SP;4798,000;3546,000;1252,000;3272,000;7,000;0,214;0,407;0,197
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;0,116;0,073
SP00023;SP;2029,000;1448,000;581,000;1264,000;1,000;0,079;0,058;0,069
SP00024;SP;629,000;454,000;175,000;420,000;1,000;0,238;0,058;0,220
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,058;0,045
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,058;0,095
SP00028;SP;8070,000;5175,000;2895,000;4726,000;2,000;0,042;0,116;0,039
SP00029;SP;17797,000;12599,000;5198,000;11769,000;16,000;0,136;0,929;0,127
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,058;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;3,000;0,079;0,174;0,070
SP00032;SP;11991,000;8507,000;3484,000;8030,000;6,000;0,075;0,348;0,071
SP00033;SP;7735,000;5271,000;2464,000;4792,000;4,000;0,083;0,232;0,076
SP00034;SP;5401,000;3246,000;2155,000;2941,000;1,000;0,034;0,058;0,031
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,116;0,042
SP00037;SP;5446,000;3922,000;1524,000;3606,000;2,000;0,055;0,116;0,051
SP00038;SP;8044,000;5650,000;2394,000;5177,000;10,000;0,193;0,581;0,177
SP00039;SP;6391,000;4336,000;2055,000;3981,000;6,000;0,151;0,348;0,138
SP00040;SP;7288,000;5434,000;1854,000;4999,000;4,000;0,080;0,232;0,074
SP00041;SP;4585,000;3191,000;1394,000;2950,000;2,000;0,068;0,116;0,063
SP00042;SP;3797,000;2921,000;876,000;2677,000;5,000;0,187;0,290;0,171
SP00044;SP;7789,000;5743,000;2046,000;5331,000;5,000;0,094;0,290;0,087
SP00045;SP;3377,000;2532,000;845,000;2298,000;2,000;0,087;0,116;0,079
SP00046;SP;8211,000;6097,000;2114,000;5678,000;6,000;0,106;0,348;0,098
SP00048;SP;5609,000;4361,000;1248,000;4021,000;6,000;0,149;0,348;0,138
SP00050;SP;1956,000;1443,000;513,000;1344,000;2,000;0,149;0,116;0,139
SP00051;SP;9919,000;6324,000;3595,000;5895,000;2,000;0,034;0,116;0,032
SP00052;SP;5165,000;3133,000;2032,000;2746,000;1,000;0,036;0,058;0,032
SP00053;SP;6007,000;3594,000;2413,000;3140,000;1,000;0,032;0,058;0,028
SP00055;SP;8226,000;5391,000;2835,000;4660,000;1,000;0,021;0,058;0,019
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,058;0,027
SP00057;SP;4525,000;2909,000;1616,000;2485,000;1,000;0,040;0,058;0,034
SP00059;SP;6072,000;4040,000;2032,000;3525,000;4,000;0,113;0,232;0,099
SP00061;SP;5110,000;3413,000;1697,000;2995,000;1,000;0,033;0,058;0,029
SP00064;SP;6208,000;4037,000;2171,000;3511,000;1,000;0,028;0,058;0,025
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,058;0,043
SP00067;SP;1499,000;922,000;577,000;799,000;1,000;0,125;0,058;0,108
SP00069;SP;2939,000;2032,000;907,000;1793,000;1,000;0,056;0,058;0,049
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,058;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,058;0,024
SP00072;SP;4862,000;3103,000;1759,000;2736,000;1,000;0,037;0,058;0,032
SP00073;SP;14871,000;9817,000;5054,000;8895,000;7,000;0,079;0,407;0,071
SP00078;SP;6145,000;4471,000;1674,000;4014,000;1,000;0,025;0,058;0,022
SP00079;SP;6753,000;5126,000;1627,000;4484,000;2,000;0,045;0,116;0,039
SP00083;SP;12710,000;9298,000;3412,000;8373,000;1,000;0,012;0,058;0,011
SP00084;SP;8514,000;5960,000;2554,000;5282,000;2,000;0,038;0,116;0,034
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,058;0,018
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,058;0,024
SP00087;SP;7025,000;4901,000;2124,000;4319,000;1,000;0,023;0,058;0,020
SP00088;SP;8110,000;5666,000;2444,000;5056,000;1,000;0,020;0,058;0,018
SP00089;SP;6261,000;4229,000;2032,000;3816,000;2,000;0,052;0,116;0,047
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,058;0,021
SP00093;SP;4638,000;3524,000;1114,000;3163,000;2,000;0,063;0,116;0,057
SP00094;SP;3713,000;2680,000;1033,000;2357,000;2,000;0,085;0,116;0,075
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,058;0,019
SP00096;SP;3961,000;2845,000;1116,000;2437,000;1,000;0,041;0,058;0,035
SP00097;SP;4480,000;3320,000;1160,000;2831,000;1,000;0,035;0,058;0,030
SP00098;SP;5038,000;3701,000;1337,000;3156,000;1,000;0,032;0,058;0,027
SP00103;SP;2478,000;1733,000;745,000;1529,000;1,000;0,065;0,058;0,058
SP00105;SP;3570,000;2330,000;1240,000;2184,000;2,000;0,092;0,116;0,086
SP00106;SP;4729,000;3001,000;1728,000;2772,000;5,000;0,180;0,290;0,167
SP00107;SP;5091,000;3438,000;1653,000;3201,000;2,000;0,062;0,116;0,058
SP00108;SP;7706,000;4996,000;2710,000;4672,000;6,000;0,128;0,348;0,120
SP00110;SP;4331,000;2860,000;1471,000;2625,000;1,000;0,038;0,058;0,035
SP00111;SP;5405,000;3713,000;1692,000;3463,000;1,000;0,029;0,058;0,027
SP00112;SP;5370,000;3564,000;1806,000;3242,000;4,000;0,123;0,232;0,112
SP00113;SP;4368,000;2914,000;1454,000;2731,000;3,000;0,110;0,174;0,103
SP00114;SP;11524,000;7280,000;4244,000;6663,000;2,000;0,030;0,116;0,027
SP00115;SP;6789,000;4670,000;2119,000;4276,000;4,000;0,094;0,232;0,086
SP00116;SP;13458,000;8809,000;4649,000;8195,000;10,000;0,122;0,581;0,114
SP00117;SP;12258,000;8026,000;4232,000;7396,000;10,000;0,135;0,581;0,125
SP00118;SP;11540,000;7496,000;4044,000;6933,000;5,000;0,072;0,290;0,067
SP00119;SP;8699,000;5629,000;3070,000;5241,000;6,000;0,114;0,348;0,107
SP00120;SP;7492,000;5053,000;2439,000;4694,000;3,000;0,064;0,174;0,059
SP00121;SP;4046,000;2658,000;1388,000;2420,000;1,000;0,041;0,058;0,038
SP00122;SP;2338,000;1648,000;690,000;1510,000;1,000;0,066;0,058;0,061
SP00123;SP;2390,000;1759,000;631,000;1653,000;1,000;0,060;0,058;0,057
SP00125;SP;8768,000;6055,000;2713,000;5539,000;2,000;0,036;0,116;0,033
SP00126;SP;3970,000;2788,000;1182,000;2578,000;1,000;0,039;0,058;0,036
SP00127;SP;7300,000;5121,000;2179,000;4725,000;3,000;0,063;0,174;0,059
SP00128;SP;9830,000;6546,000;3284,000;5910,000;6,000;0,102;0,348;0,092
SP00129;SP;8021,000;5609,000;2412,000;5146,000;4,000;0,078;0,232;0,071
SP00130;SP;7718,000;5325,000;2393,000;4865,000;6,000;0,123;0,348;0,113
SP00131;SP;5037,000;3622,000;1415,000;3345,000;3,000;0,090;0,174;0,083
SP00133;SP;4191,000;2905,000;1286,000;2648,000;4,000;0,151;0,232;0,138
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,058;0,015
SP00136;SP;9241,000;6497,000;2744,000;5815,000;4,000;0,069;0,232;0,062
SP00137;SP;6956,000;4953,000;2003,000;4471,000;1,000;0,022;0,058;0,020
SP00139;SP;7945,000;5514,000;2431,000;4905,000;5,000;0,102;0,290;0,091
SP00141;SP;4594,000;3186,000;1408,000;2804,000;2,000;0,071;0,116;0,063
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,058;0,033
SP00143;SP;8101,000;5686,000;2415,000;5122,000;1,000;0,020;0,058;0,018
SP00144;SP;5788,000;3963,000;1825,000;3611,000;4,000;0,111;0,232;0,101
SP00145;SP;4652,000;3551,000;1101,000;3217,000;2,000;0,062;0,116;0,056
SP00146;SP;7336,000;5404,000;1932,000;4752,000;5,000;0,105;0,290;0,093
SP00147;SP;7272,000;5483,000;1789,000;5016,000;4,000;0,080;0,232;0,073
SP00148;SP;4985,000;3706,000;1279,000;3293,000;1,000;0,030;0,058;0,027
SP00149;SP;3452,000;2590,000;862,000;2234,000;1,000;0,045;0,058;0,039
SP00150;SP;2320,000;1742,000;578,000;1615,000;1,000;0,062;0,058;0,057
SP00154;SP;6876,000;4799,000;2077,000;4025,000;1,000;0,025;0,058;0,021
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,058;0,023
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,058;0,020
SP00164;SP;5864,000;4364,000;1500,000;3543,000;1,000;0,028;0,058;0,023
SP00167;SP;6528,000;4883,000;1645,000;3930,000;2,000;0,051;0,116;0,041
SP00168;SP;4204,000;3050,000;1154,000;2550,000;1,000;0,039;0,058;0,033
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,058;0,022
SP00178;SP;8552,000;6363,000;2189,000;5204,000;1,000;0,019;0,058;0,016
SP00190;SP;9191,000;6215,000;2976,000;5565,000;2,000;0,036;0,116;0,032
SP00191;SP;4893,000;3386,000;1507,000;3120,000;2,000;0,064;0,116;0,059
SP00194;SP;8615,000;6268,000;2347,000;5780,000;4,000;0,069;0,232;0,064
SP00197;SP;4829,000;3340,000;1489,000;3099,000;1,000;0,032;0,058;0,030
SP00198;SP;9846,000;7057,000;2789,000;6333,000;5,000;0,079;0,290;0,071
SP00199;SP;9351,000;6697,000;2654,000;6031,000;2,000;0,033;0,116;0,030
SP00201;SP;9459,000;6572,000;2887,000;5989,000;7,000;0,117;0,407;0,107
SP00202;SP;7973,000;5469,000;2504,000;5015,000;2,000;0,040;0,116;0,037
SP00203;SP;7005,000;4837,000;2168,000;4332,000;5,000;0,115;0,290;0,103
SP00204;SP;4526,000;3486,000;1040,000;3183,000;2,000;0,063;0,116;0,057
SP00205;SP;3126,000;2267,000;859,000;2107,000;4,000;0,190;0,232;0,176
SP00206;SP;3004,000;2207,000;797,000;2000,000;3,000;0,150;0,174;0,136
SP00213;SP;4732,000;3454,000;1278,000;3107,000;2,000;0,064;0,116;0,058
SP00217;SP;1566,000;1244,000;322,000;1121,000;1,000;0,089;0,058;0,080
SP00218;SP;3583,000;2575,000;1008,000;2277,000;1,000;0,044;0,058;0,039
SP00219;SP;5453,000;3846,000;1607,000;3316,000;2,000;0,060;0,116;0,052
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,058;0,025
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,058;0,052
SP00228;SP;3772,000;2679,000;1093,000;2265,000;1,000;0,044;0,058;0,037
SP00230;SP;4442,000;3139,000;1303,000;2668,000;2,000;0,075;0,116;0,064
SP00236;SP;4570,000;3488,000;1082,000;2996,000;1,000;0,033;0,058;0,029
SP00237;SP;4589,000;3414,000;1175,000;2908,000;2,000;0,069;0,116;0,059
SP00238;SP;6012,000;4671,000;1341,000;3951,000;1,000;0,025;0,058;0,021
SP00241;SP;3798,000;2913,000;885,000;2413,000;1,000;0,041;0,058;0,034
SP00245;SP;1860,000;1458,000;402,000;1167,000;2,000;0,171;0,116;0,137
SP00251;SP;3854,000;2856,000;998,000;2435,000;1,000;0,041;0,058;0,035
SP00253;SP;6617,000;5105,000;1512,000;4218,000;2,000;0,047;0,116;0,039
SP00255;SP;6778,000;5044,000;1734,000;4293,000;1,000;0,023;0,058;0,020
SP00257;SP;5556,000;4081,000;1475,000;3166,000;1,000;0,032;0,058;0,025
SP00260;SP;6967,000;4886,000;2081,000;4112,000;4,000;0,097;0,232;0,082
SP00261;SP;5727,000;3983,000;1744,000;3376,000;3,000;0,089;0,174;0,075
SP00263;SP;10873,000;8161,000;2712,000;7067,000;1,000;0,014;0,058;0,012
SP00264;SP;6606,000;4757,000;1849,000;3973,000;2,000;0,050;0,116;0,042
SP00266;SP;6960,000;5099,000;1861,000;4318,000;1,000;0,023;0,058;0,020
SP00267;SP;6197,000;4417,000;1780,000;3682,000;1,000;0,027;0,058;0,023
SP00272;SP;3513,000;2773,000;740,000;2324,000;1,000;0,043;0,058;0,036
SP00277;SP;4274,000;3219,000;1055,000;2691,000;1,000;0,037;0,058;0,031
SP00278;SP;3874,000;2884,000;990,000;2434,000;1,000;0,041;0,058;0,035
SP00282;SP;6521,000;4899,000;1622,000;4004,000;1,000;0,025;0,058;0,020
SP00283;SP;4282,000;3227,000;1055,000;2653,000;1,000;0,038;0,058;0,031
SP00284;SP;4514,000;3367,000;1147,000;2775,000;1,000;0,036;0,058;0,030
SP00285;SP;2333,000;1770,000;563,000;1490,000;1,000;0,067;0,058;0,056
SP00286;SP;6009,000;4463,000;1546,000;3798,000;1,000;0,026;0,058;0,022
SP00292;SP;3524,000;2286,000;1238,000;2056,000;1,000;0,049;0,058;0,044
SP00294;SP;5157,000;3659,000;1498,000;3309,000;3,000;0,091;0,174;0,082
SP00295;SP;4636,000;3029,000;1607,000;2673,000;3,000;0,112;0,174;0,099
SP00296;SP;2387,000;1583,000;804,000;1433,000;1,000;0,070;0,058;0,063
SP00301;SP;3036,000;2157,000;879,000;1924,000;1,000;0,052;0,058;0,046
SP00303;SP;3512,000;2379,000;1133,000;2163,000;2,000;0,092;0,116;0,084
SP00304;SP;3481,000;2524,000;957,000;2284,000;2,000;0,088;0,116;0,079
SP00305;SP;2904,000;1801,000;1103,000;1620,000;2,000;0,123;0,116;0,111
SP00308;SP;4601,000;3237,000;1364,000;2784,000;2,000;0,072;0,116;0,062
SP00310;SP;5928,000;4260,000;1668,000;3647,000;2,000;0,055;0,116;0,047
SP00312;SP;3428,000;2474,000;954,000;2235,000;4,000;0,179;0,232;0,162
SP00313;SP;5494,000;4051,000;1443,000;3634,000;2,000;0,055;0,116;0,049
SP00315;SP;5861,000;4276,000;1585,000;3850,000;2,000;0,052;0,116;0,047
SP00316;SP;8808,000;6530,000;2278,000;5921,000;3,000;0,051;0,174;0,046
SP00318;SP;2552,000;1822,000;730,000;1585,000;5,000;0,315;0,290;0,274
SP00322;SP;8258,000;5548,000;2710,000;4975,000;2,000;0,040;0,116;0,036
SP00323;SP;4008,000;2671,000;1337,000;2414,000;1,000;0,041;0,058;0,037
SP00324;SP;4770,000;3319,000;1451,000;2949,000;2,000;0,068;0,116;0,060
SP00326;SP;3933,000;2749,000;1184,000;2471,000;2,000;0,081;0,116;0,073
SP00329;SP;3347,000;2208,000;1139,000;1860,000;1,000;0,054;0,058;0,045
SP00330;SP;4062,000;2873,000;1189,000;2547,000;3,000;0,118;0,174;0,104
SP00331;SP;3036,000;2191,000;845,000;2021,000;3,000;0,148;0,174;0,137
SP00332;SP;3054,000;2284,000;770,000;2099,000;2,000;0,095;0,116;0,088
SP00336;SP;3224,000;2282,000;942,000;1932,000;1,000;0,052;0,058;0,044
SP00338;SP;4592,000;3124,000;1468,000;2780,000;1,000;0,036;0,058;0,032
SP00341;SP;3178,000;2297,000;881,000;2077,000;1,000;0,048;0,058;0,044
SP00342;SP;5123,000;3662,000;1461,000;3278,000;1,000;0,031;0,058;0,027
SP00343;SP;5204,000;3721,000;1483,000;3344,000;1,000;0,030;0,058;0,027
SP00344;SP;5849,000;4118,000;1731,000;3729,000;3,000;0,080;0,174;0,073
SP00345;SP;7886,000;5416,000;2470,000;4892,000;2,000;0,041;0,116;0,037
SP00346;SP;1595,000;1205,000;390,000;1113,000;3,000;0,270;0,174;0,249
SP00348;SP;4643,000;3365,000;1278,000;3024,000;5,000;0,165;0,290;0,149
SP00356;SP;6871,000;5190,000;1681,000;4713,000;3,000;0,064;0,174;0,058
SP00363;SP;6587,000;4335,000;2252,000;4017,000;5,000;0,124;0,290;0,115
SP00364;SP;1999,000;1353,000;646,000;1259,000;3,000;0,238;0,174;0,222
SP00365;SP;5757,000;3680,000;2077,000;3504,000;6,000;0,171;0,348;0,163
SP00366;SP;5574,000;3886,000;1688,000;3655,000;4,000;0,109;0,232;0,103
SP00369;SP;4203,000;2956,000;1247,000;2789,000;4,000;0,143;0,232;0,135
SP00370;SP;7693,000;5691,000;2002,000;5410,000;10,000;0,185;0,581;0,176
SP00371;SP;7513,000;5272,000;2241,000;4897,000;4,000;0,082;0,232;0,076
SP00372;SP;5891,000;3989,000;1902,000;3708,000;5,000;0,135;0,290;0,125
SP00373;SP;5182,000;3550,000;1632,000;3328,000;10,000;0,300;0,581;0,282
SP00374;SP;4011,000;2670,000;1341,000;2516,000;3,000;0,119;0,174;0,112
SP00375;SP;4721,000;3317,000;1404,000;3093,000;6,000;0,194;0,348;0,181
SP00376;SP;4805,000;3354,000;1451,000;3098,000;5,000;0,161;0,290;0,149
SP00377;SP;4059,000;2893,000;1166,000;2693,000;6,000;0,223;0,348;0,207
SP00378;SP;3829,000;2734,000;1095,000;2571,000;3,000;0,117;0,174;0,110
SP00379;SP;4356,000;2992,000;1364,000;2717,000;1,000;0,037;0,058;0,033
SP00380;SP;4357,000;2944,000;1413,000;2747,000;2,000;0,073;0,116;0,068
SP00381;SP;4728,000;3340,000;1388,000;3119,000;7,000;0,224;0,407;0,210
SP00382;SP;1970,000;1370,000;600,000;1292,000;2,000;0,155;0,116;0,146
SP00383;SP;3490,000;2283,000;1207,000;2113,000;3,000;0,142;0,174;0,131
SP00384;SP;2769,000;1971,000;798,000;1845,000;4,000;0,217;0,232;0,203
SP00385;SP;3955,000;2825,000;1130,000;2607,000;7,000;0,269;0,407;0,248
SP00386;SP;2170,000;1708,000;462,000;1625,000;5,000;0,308;0,290;0,293
SP00387;SP;3215,000;2482,000;733,000;2310,000;3,000;0,130;0,174;0,121
SP00388;SP;1990,000;1488,000;502,000;1379,000;4,000;0,290;0,232;0,269
SP00389;SP;2663,000;1942,000;721,000;1788,000;3,000;0,168;0,174;0,154
SP00390;SP;4307,000;3128,000;1179,000;2733,000;1,000;0,037;0,058;0,032
SP00392;SP;4859,000;3569,000;1290,000;3137,000;1,000;0,032;0,058;0,028
SP00393;SP;3958,000;2809,000;1149,000;2404,000;1,000;0,042;0,058;0,036
SP00396;SP;2981,000;2015,000;966,000;1734,000;1,000;0,058;0,058;0,050
SP00401;SP;6075,000;4286,000;1789,000;3723,000;1,000;0,027;0,058;0,023
SP00402;SP;4338,000;3200,000;1138,000;2741,000;2,000;0,073;0,116;0,062
SP00404;SP;5256,000;3768,000;1488,000;3185,000;1,000;0,031;0,058;0,027
SP00408;SP;7217,000;5129,000;2088,000;4414,000;1,000;0,023;0,058;0,019
SP00409;SP;5537,000;4146,000;1391,000;3428,000;1,000;0,029;0,058;0,024
SP00419;SP;4961,000;3484,000;1477,000;3096,000;1,000;0,032;0,058;0,029
SP00421;SP;3048,000;2181,000;867,000;1947,000;3,000;0,154;0,174;0,138
SP00422;SP;10320,000;7595,000;2725,000;6744,000;2,000;0,030;0,116;0,026
SP00424;SP;4823,000;3449,000;1374,000;3041,000;2,000;0,066;0,116;0,058
SP00426;SP;6948,000;4982,000;1966,000;4433,000;1,000;0,023;0,058;0,020
SP00427;SP;4605,000;3414,000;1191,000;3042,000;2,000;0,066;0,116;0,059
SP00429;SP;5111,000;3592,000;1519,000;3236,000;2,000;0,062;0,116;0,056
SP00430;SP;8129,000;5971,000;2158,000;5396,000;1,000;0,019;0,058;0,017
SP00433;SP;4353,000;3211,000;1142,000;2911,000;1,000;0,034;0,058;0,031
SP00434;SP;5194,000;3618,000;1576,000;3183,000;1,000;0,031;0,058;0,028
SP00435;SP;7037,000;5280,000;1757,000;4647,000;1,000;0,022;0,058;0,019
SP00437;SP;4783,000;3440,000;1343,000;3049,000;1,000;0,033;0,058;0,029
SP00438;SP;3263,000;2333,000;930,000;2012,000;1,000;0,050;0,058;0,043
SP00439;SP;3746,000;2751,000;995,000;2414,000;1,000;0,041;0,058;0,036
SP00440;SP;4147,000;2940,000;1207,000;2548,000;1,000;0,039;0,058;0,034
SP00441;SP;4817,000;3411,000;1406,000;2965,000;2,000;0,067;0,116;0,059
SP00442;SP;3055,000;2335,000;720,000;2045,000;1,000;0,049;0,058;0,043
SP00443;SP;5342,000;3920,000;1422,000;3502,000;2,000;0,057;0,116;0,051
SP00444;SP;4038,000;3031,000;1007,000;2708,000;1,000;0,037;0,058;0,033
SP00445;SP;2263,000;1802,000;461,000;1578,000;1,000;0,063;0,058;0,055
SP00446;SP;7010,000;5463,000;1547,000;4823,000;3,000;0,062;0,174;0,055
SP00448;SP;2058,000;1544,000;514,000;1354,000;1,000;0,074;0,058;0,065
SP00449;SP;6333,000;4838,000;1495,000;4289,000;3,000;0,070;0,174;0,062
SP00450;SP;4825,000;3770,000;1055,000;3407,000;2,000;0,059;0,116;0,053
SP00452;SP;3018,000;2212,000;806,000;1929,000;1,000;0,052;0,058;0,045
SP00457;SP;2816,000;1940,000;876,000;1732,000;1,000;0,058;0,058;0,052
SP00458;SP;8529,000;5970,000;2559,000;5339,000;1,000;0,019;0,058;0,017
SP00460;SP;6386,000;4591,000;1795,000;4104,000;1,000;0,024;0,058;0,022
SP00462;SP;5168,000;3650,000;1518,000;3226,000;2,000;0,062;0,116;0,055
SP00464;SP;4296,000;3192,000;1104,000;2765,000;1,000;0,036;0,058;0,031
SP00466;SP;6038,000;4389,000;1649,000;3812,000;1,000;0,026;0,058;0,023
SP00470;SP;4692,000;3265,000;1427,000;2911,000;1,000;0,034;0,058;0,031
SP00471;SP;3265,000;2247,000;1018,000;1966,000;1,000;0,051;0,058;0,045
SP00475;SP;5821,000;4091,000;1730,000;3609,000;1,000;0,028;0,058;0,024
SP00476;SP;5975,000;4311,000;1664,000;3817,000;1,000;0,026;0,058;0,023
SP00477;SP;2863,000;2003,000;860,000;1768,000;1,000;0,057;0,058;0,050
SP00482;SP;6633,000;4865,000;1768,000;4345,000;1,000;0,023;0,058;0,021
SP00487;SP;2063,000;1542,000;521,000;1295,000;1,000;0,077;0,058;0,065
SP00488;SP;1859,000;1441,000;418,000;1270,000;1,000;0,079;0,058;0,069
SP00490;SP;1981,000;1328,000;653,000;1121,000;1,000;0,089;0,058;0,075
SP00497;SP;6925,000;4935,000;1990,000;4441,000;1,000;0,023;0,058;0,020
SP00498;SP;3111,000;2164,000;947,000;1894,000;1,000;0,053;0,058;0,046
SP00499;SP;6834,000;4904,000;1930,000;4285,000;2,000;0,047;0,116;0,041
SP00502;SP;6808,000;4910,000;1898,000;4207,000;1,000;0,024;0,058;0,020
SP00503;SP;6619,000;4634,000;1985,000;4034,000;2,000;0,050;0,116;0,043
SP00505;SP;2185,000;1532,000;653,000;1335,000;1,000;0,075;0,058;0,065
SP00507;SP;9953,000;7335,000;2618,000;6265,000;2,000;0,032;0,116;0,027
SP00510;SP;6209,000;4329,000;1880,000;3594,000;2,000;0,056;0,116;0,046
SP00514;SP;5514,000;3990,000;1524,000;3430,000;1,000;0,029;0,058;0,025
SP00515;SP;4792,000;3544,000;1248,000;3046,000;2,000;0,066;0,116;0,056
SP00516;SP;6938,000;4877,000;2061,000;4090,000;1,000;0,024;0,058;0,021
SP00519;SP;5846,000;4121,000;1725,000;3509,000;1,000;0,028;0,058;0,024
SP00521;SP;5002,000;3490,000;1512,000;2901,000;1,000;0,034;0,058;0,029
SP00525;SP;5945,000;4545,000;1400,000;3796,000;2,000;0,053;0,116;0,044
SP00528;SP;2366,000;1777,000;589,000;1569,000;1,000;0,064;0,058;0,056
SP00529;SP;3155,000;2369,000;786,000;2087,000;1,000;0,048;0,058;0,042
SP00532;SP;2674,000;1939,000;735,000;1655,000;1,000;0,060;0,058;0,052
SP00533;SP;2644,000;2087,000;557,000;1800,000;1,000;0,056;0,058;0,048
SP00534;SP;4351,000;3409,000;942,000;3003,000;1,000;0,033;0,058;0,029
SP00535;SP;4936,000;3367,000;1569,000;2995,000;1,000;0,033;0,058;0,030
SP00536;SP;6329,000;4580,000;1749,000;3965,000;2,000;0,050;0,116;0,044
SP00538;SP;5278,000;3612,000;1666,000;3064,000;1,000;0,033;0,058;0,028
SP00539;SP;5948,000;4112,000;1836,000;3697,000;3,000;0,081;0,174;0,073
SP00543;SP;8077,000;5459,000;2618,000;4653,000;1,000;0,021;0,058;0,018
SP00544;SP;5536,000;3707,000;1829,000;3265,000;1,000;0,031;0,058;0,027
SP00545;SP;7097,000;4864,000;2233,000;4172,000;1,000;0,024;0,058;0,021
SP00548;SP;4404,000;2954,000;1450,000;2590,000;2,000;0,077;0,116;0,068
SP00549;SP;5928,000;4010,000;1918,000;3526,000;3,000;0,085;0,174;0,075
SP00552;SP;5887,000;3978,000;1909,000;3352,000;1,000;0,030;0,058;0,025
SP00559;SP;6869,000;5121,000;1748,000;4262,000;1,000;0,023;0,058;0,020
SP00560;SP;4755,000;3443,000;1312,000;2876,000;1,000;0,035;0,058;0,029
SP00563;SP;3945,000;2921,000;1024,000;2409,000;1,000;0,042;0,058;0,034
SP00565;SP;3148,000;2356,000;792,000;2001,000;1,000;0,050;0,058;0,042
SP00567;SP;3964,000;2865,000;1099,000;2570,000;1,000;0,039;0,058;0,035
SP00568;SP;4355,000;3188,000;1167,000;2856,000;4,000;0,140;0,232;0,125
SP00572;SP;5117,000;3692,000;1425,000;3011,000;3,000;0,100;0,174;0,081
SP00577;SP;8415,000;5842,000;2573,000;5257,000;4,000;0,076;0,232;0,068
SP00579;SP;4397,000;3146,000;1251,000;2698,000;1,000;0,037;0,058;0,032
SP00581;SP;5307,000;3773,000;1534,000;3338,000;1,000;0,030;0,058;0,027
SP00582;SP;4259,000;3081,000;1178,000;2707,000;1,000;0,037;0,058;0,032
SP00583;SP;4985,000;3669,000;1316,000;3192,000;1,000;0,031;0,058;0,027
SP00586;SP;2592,000;1953,000;639,000;1703,000;1,000;0,059;0,058;0,051
SP00587;SP;3697,000;2586,000;1111,000;2332,000;2,000;0,086;0,116;0,077
SP00588;SP;5167,000;3521,000;1646,000;3105,000;2,000;0,064;0,116;0,057
SP00591;SP;6263,000;4400,000;1863,000;3772,000;1,000;0,027;0,058;0,023
SP00592;SP;5506,000;4004,000;1502,000;3466,000;1,000;0,029;0,058;0,025
