CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00001;SP;10045,000;6633,000;3412,000;6086,000;2,000;0,033;0,495;0,030
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,248;0,018
SP00003;SP;6223,000;3562,000;2661,000;3191,000;1,000;0,031;0,248;0,028
SP00004;SP;6071,000;4117,000;1954,000;3653,000;1,000;0,027;0,248;0,024
SP00007;SP;9748,000;5727,000;4021,000;5077,000;1,000;0,020;0,248;0,017
SP00009;SP;5809,000;3876,000;1933,000;3552,000;6,000;0,169;1,485;0,155
SP00010;SP;9269,000;6039,000;3230,000;5553,000;3,000;0,054;0,743;0,050
SP00011;SP;7822,000;5249,000;2573,000;4769,000;2,000;0,042;0,495;0,038
SP00013;SP;4269,000;2958,000;1311,000;2742,000;1,000;0,036;0,248;0,034
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,248;0,045
SP00026;SP;1515,000;1057,000;458,000;941,000;1,000;0,106;0,248;0,095
SP00028;SP;8070,000;5175,000;2895,000;4726,000;1,000;0,021;0,248;0,019
SP00029;SP;17797,000;12599,000;5198,000;11769,000;6,000;0,051;1,485;0,048
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,248;0,023
SP00032;SP;11991,000;8507,000;3484,000;8030,000;12,000;0,149;2,970;0,141
SP00033;SP;7735,000;5271,000;2464,000;4792,000;1,000;0,021;0,248;0,019
SP00035;SP;5608,000;3859,000;1749,000;3432,000;3,000;0,087;0,743;0,078
SP00044;SP;7789,000;5743,000;2046,000;5331,000;2,000;0,038;0,495;0,035
SP00046;SP;8211,000;6097,000;2114,000;5678,000;3,000;0,053;0,743;0,049
SP00049;SP;2731,000;2018,000;713,000;1902,000;1,000;0,053;0,248;0,050
SP00051;SP;9919,000;6324,000;3595,000;5895,000;2,000;0,034;0,495;0,032
SP00056;SP;5794,000;3640,000;2154,000;3156,000;1,000;0,032;0,248;0,027
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,248;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,495;0,020
SP00084;SP;8514,000;5960,000;2554,000;5282,000;1,000;0,019;0,248;0,017
SP00094;SP;3713,000;2680,000;1033,000;2357,000;1,000;0,042;0,248;0,037
SP00101;SP;8957,000;6780,000;2177,000;6001,000;2,000;0,033;0,495;0,029
SP00105;SP;3570,000;2330,000;1240,000;2184,000;2,000;0,092;0,495;0,086
SP00106;SP;4729,000;3001,000;1728,000;2772,000;1,000;0,036;0,248;0,033
SP00107;SP;5091,000;3438,000;1653,000;3201,000;6,000;0,187;1,485;0,175
SP00108;SP;7706,000;4996,000;2710,000;4672,000;6,000;0,128;1,485;0,120
SP00109;SP;3531,000;2268,000;1263,000;2068,000;3,000;0,145;0,743;0,132
SP00110;SP;4331,000;2860,000;1471,000;2625,000;2,000;0,076;0,495;0,070
SP00111;SP;5405,000;3713,000;1692,000;3463,000;4,000;0,116;0,990;0,108
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,248;0,028
SP00113;SP;4368,000;2914,000;1454,000;2731,000;5,000;0,183;1,238;0,172
SP00114;SP;11524,000;7280,000;4244,000;6663,000;2,000;0,030;0,495;0,027
SP00115;SP;6789,000;4670,000;2119,000;4276,000;3,000;0,070;0,743;0,064
SP00116;SP;13458,000;8809,000;4649,000;8195,000;7,000;0,085;1,733;0,079
SP00117;SP;12258,000;8026,000;4232,000;7396,000;2,000;0,027;0,495;0,025
