CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00002;SP;8476,000;5539,000;2937,000;5059,000;1,000;0,020;0,132;0,018
SP00008;SP;4250,000;2710,000;1540,000;2422,000;2,000;0,083;0,264;0,074
SP00011;SP;7822,000;5249,000;2573,000;4769,000;1,000;0,021;0,132;0,019
SP00012;SP;9441,000;6116,000;3325,000;5498,000;1,000;0,018;0,132;0,016
SP00014;SP;7153,000;4433,000;2720,000;3934,000;2,000;0,051;0,264;0,045
SP00021;SP;3914,000;2744,000;1170,000;2386,000;2,000;0,084;0,264;0,073
SP00025;SP;3193,000;2227,000;966,000;2052,000;1,000;0,049;0,132;0,045
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,132;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;2,000;0,052;0,264;0,047
SP00040;SP;7288,000;5434,000;1854,000;4999,000;1,000;0,020;0,132;0,018
SP00065;SP;3705,000;2327,000;1378,000;1980,000;1,000;0,051;0,132;0,043
SP00070;SP;4221,000;2997,000;1224,000;2670,000;1,000;0,037;0,132;0,033
SP00071;SP;6547,000;4082,000;2465,000;3615,000;1,000;0,028;0,132;0,024
SP00073;SP;14871,000;9817,000;5054,000;8895,000;2,000;0,022;0,264;0,020
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,132;0,027
SP00085;SP;7942,000;5522,000;2420,000;4861,000;1,000;0,021;0,132;0,018
SP00086;SP;5934,000;4153,000;1781,000;3692,000;1,000;0,027;0,132;0,024
SP00091;SP;6781,000;4661,000;2120,000;4098,000;1,000;0,024;0,132;0,021
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,132;0,019
SP00099;SP;4550,000;3344,000;1206,000;2841,000;1,000;0,035;0,132;0,030
SP00112;SP;5370,000;3564,000;1806,000;3242,000;1,000;0,031;0,132;0,028
SP00115;SP;6789,000;4670,000;2119,000;4276,000;1,000;0,023;0,132;0,021
SP00125;SP;8768,000;6055,000;2713,000;5539,000;2,000;0,036;0,264;0,033
SP00129;SP;8021,000;5609,000;2412,000;5146,000;1,000;0,019;0,132;0,018
SP00135;SP;10099,000;6853,000;3246,000;5983,000;1,000;0,017;0,132;0,015
SP00138;SP;3114,000;2129,000;985,000;1891,000;1,000;0,053;0,132;0,047
SP00145;SP;4652,000;3551,000;1101,000;3217,000;2,000;0,062;0,264;0,056
SP00146;SP;7336,000;5404,000;1932,000;4752,000;1,000;0,021;0,132;0,019
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,132;0,021
SP00161;SP;7454,000;5453,000;2001,000;4461,000;1,000;0,022;0,132;0,018
SP00169;SP;6507,000;4898,000;1609,000;3997,000;1,000;0,025;0,132;0,020
SP00170;SP;3660,000;2732,000;928,000;2322,000;1,000;0,043;0,132;0,037
SP00178;SP;8552,000;6363,000;2189,000;5204,000;2,000;0,038;0,264;0,031
SP00221;SP;3925,000;2950,000;975,000;2531,000;1,000;0,040;0,132;0,034
SP00222;SP;5627,000;4034,000;1593,000;3525,000;1,000;0,028;0,132;0,025
SP00223;SP;2666,000;1909,000;757,000;1662,000;1,000;0,060;0,132;0,052
SP00232;SP;6760,000;5102,000;1658,000;4371,000;2,000;0,046;0,264;0,039
SP00235;SP;6359,000;4733,000;1626,000;4005,000;1,000;0,025;0,132;0,021
SP00237;SP;4589,000;3414,000;1175,000;2908,000;1,000;0,034;0,132;0,029
SP00239;SP;5869,000;4516,000;1353,000;3700,000;5,000;0,135;0,659;0,111
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,132;0,037
SP00244;SP;1594,000;1206,000;388,000;978,000;2,000;0,204;0,264;0,166
SP00250;SP;4023,000;3125,000;898,000;2566,000;1,000;0,039;0,132;0,032
SP00254;SP;4716,000;3494,000;1222,000;2936,000;1,000;0,034;0,132;0,029
SP00257;SP;5556,000;4081,000;1475,000;3166,000;1,000;0,032;0,132;0,025
SP00259;SP;1803,000;1399,000;404,000;1139,000;1,000;0,088;0,132;0,071
SP00260;SP;6967,000;4886,000;2081,000;4112,000;1,000;0,024;0,132;0,020
SP00261;SP;5727,000;3983,000;1744,000;3376,000;1,000;0,030;0,132;0,025
