CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00029;SP;17797,000;12599,000;5198,000;11769,000;1,000;0,008;0,118;0,008
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,235;0,042
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,118;0,017
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,118;0,010
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,118;0,044
SP00110;SP;4331,000;2860,000;1471,000;2625,000;2,000;0,076;0,235;0,070
SP00116;SP;13458,000;8809,000;4649,000;8195,000;1,000;0,012;0,118;0,011
SP00117;SP;12258,000;8026,000;4232,000;7396,000;1,000;0,014;0,118;0,012
SP00119;SP;8699,000;5629,000;3070,000;5241,000;1,000;0,019;0,118;0,018
SP00142;SP;4541,000;2990,000;1551,000;2638,000;1,000;0,038;0,118;0,033
SP00154;SP;6876,000;4799,000;2077,000;4025,000;4,000;0,099;0,470;0,083
SP00155;SP;6109,000;4286,000;1823,000;3668,000;1,000;0,027;0,118;0,023
SP00156;SP;7080,000;4869,000;2211,000;4038,000;1,000;0,025;0,118;0,021
SP00158;SP;5902,000;3987,000;1915,000;3372,000;2,000;0,059;0,235;0,050
SP00159;SP;8207,000;5759,000;2448,000;4847,000;4,000;0,083;0,470;0,069
SP00163;SP;6612,000;4970,000;1642,000;4153,000;1,000;0,024;0,118;0,020
SP00166;SP;3724,000;2789,000;935,000;2307,000;1,000;0,043;0,118;0,036
SP00167;SP;6528,000;4883,000;1645,000;3930,000;4,000;0,102;0,470;0,082
SP00171;SP;6293,000;4730,000;1563,000;3938,000;4,000;0,102;0,470;0,085
SP00172;SP;4627,000;3517,000;1110,000;2935,000;4,000;0,136;0,470;0,114
SP00173;SP;1568,000;1128,000;440,000;942,000;1,000;0,106;0,118;0,089
SP00174;SP;4271,000;3221,000;1050,000;2581,000;1,000;0,039;0,118;0,031
SP00177;SP;6291,000;4620,000;1671,000;3718,000;1,000;0,027;0,118;0,022
SP00179;SP;3023,000;2176,000;847,000;1776,000;2,000;0,113;0,235;0,092
SP00180;SP;2715,000;1992,000;723,000;1618,000;1,000;0,062;0,118;0,050
SP00182;SP;780,000;558,000;222,000;444,000;1,000;0,225;0,118;0,179
SP00188;SP;4302,000;3191,000;1111,000;2652,000;1,000;0,038;0,118;0,031
SP00189;SP;5717,000;3833,000;1884,000;3381,000;4,000;0,118;0,470;0,104
SP00190;SP;9191,000;6215,000;2976,000;5565,000;1,000;0,018;0,118;0,016
SP00193;SP;4453,000;3011,000;1442,000;2715,000;1,000;0,037;0,118;0,033
SP00198;SP;9846,000;7057,000;2789,000;6333,000;2,000;0,032;0,235;0,028
SP00199;SP;9351,000;6697,000;2654,000;6031,000;1,000;0,017;0,118;0,015
SP00203;SP;7005,000;4837,000;2168,000;4332,000;2,000;0,046;0,235;0,041
SP00204;SP;4526,000;3486,000;1040,000;3183,000;1,000;0,031;0,118;0,029
SP00210;SP;2712,000;2153,000;559,000;1857,000;2,000;0,108;0,235;0,093
SP00211;SP;6388,000;4682,000;1706,000;4168,000;1,000;0,024;0,118;0,021
SP00215;SP;993,000;761,000;232,000;665,000;3,000;0,451;0,353;0,394
SP00219;SP;5453,000;3846,000;1607,000;3316,000;1,000;0,030;0,118;0,026
SP00220;SP;2119,000;1454,000;665,000;1292,000;1,000;0,077;0,118;0,069
SP00243;SP;3895,000;2713,000;1182,000;2275,000;1,000;0,044;0,118;0,037
SP00275;SP;4248,000;3284,000;964,000;2804,000;1,000;0,036;0,118;0,030
SP00385;SP;3955,000;2825,000;1130,000;2607,000;1,000;0,038;0,118;0,035
SP00395;SP;7319,000;5036,000;2283,000;4255,000;1,000;0,024;0,118;0,020
SP00549;SP;5928,000;4010,000;1918,000;3526,000;1,000;0,028;0,118;0,025
SP00563;SP;3945,000;2921,000;1024,000;2409,000;1,000;0,042;0,118;0,034
SP00637;SP;5885,000;3783,000;2102,000;3470,000;1,000;0,029;0,118;0,026
SP00638;SP;6804,000;4640,000;2164,000;4208,000;2,000;0,048;0,235;0,043
SP00639;SP;9027,000;6272,000;2755,000;5745,000;1,000;0,017;0,118;0,016
SP00659;SP;4066,000;2843,000;1223,000;2587,000;1,000;0,039;0,118;0,035
SP00664;SP;4189,000;2951,000;1238,000;2669,000;1,000;0,037;0,118;0,034
SP00667;SP;7365,000;5371,000;1994,000;4835,000;1,000;0,021;0,118;0,019
SP00680;SP;11486,000;8694,000;2792,000;7821,000;1,000;0,013;0,118;0,012
SP00708;SP;5710,000;3952,000;1758,000;3354,000;1,000;0,030;0,118;0,025
SP00715;SP;4628,000;3619,000;1009,000;3057,000;1,000;0,033;0,118;0,028
SP00719;SP;6130,000;4359,000;1771,000;3647,000;1,000;0,027;0,118;0,023
SP00725;SP;5899,000;4174,000;1725,000;3691,000;1,000;0,027;0,118;0,024
SP00729;SP;8105,000;5929,000;2176,000;5111,000;1,000;0,020;0,118;0,017
SP00730;SP;5502,000;4153,000;1349,000;3563,000;2,000;0,056;0,235;0,048
SP00735;SP;5909,000;4419,000;1490,000;3878,000;1,000;0,026;0,118;0,023
SP00737;SP;6265,000;4846,000;1419,000;4149,000;1,000;0,024;0,118;0,021
SP00740;SP;3936,000;3068,000;868,000;2621,000;1,000;0,038;0,118;0,033
SP00745;SP;4714,000;3481,000;1233,000;3072,000;1,000;0,033;0,118;0,029
SP00751;SP;1977,000;1546,000;431,000;1291,000;1,000;0,077;0,118;0,065
SP00753;SP;1731,000;1380,000;351,000;1171,000;1,000;0,085;0,118;0,072
SP00760;SP;6093,000;4322,000;1771,000;3614,000;1,000;0,028;0,118;0,023
SP00766;SP;7053,000;4968,000;2085,000;4402,000;1,000;0,023;0,118;0,020
SP00775;SP;7449,000;5305,000;2144,000;4528,000;1,000;0,022;0,118;0,019
SP00786;SP;4539,000;3402,000;1137,000;2835,000;1,000;0,035;0,118;0,029
SP00800;SP;5404,000;4006,000;1398,000;3410,000;1,000;0,029;0,118;0,025
SP00803;SP;3495,000;2525,000;970,000;2040,000;1,000;0,049;0,118;0,040
SP00809;SP;4931,000;3684,000;1247,000;3295,000;1,000;0,030;0,118;0,027
SP00934;SP;5284,000;3737,000;1547,000;3064,000;1,000;0,033;0,118;0,027
SP00936;SP;6913,000;5008,000;1905,000;4173,000;5,000;0,120;0,588;0,100
SP00940;SP;7378,000;5137,000;2241,000;4304,000;1,000;0,023;0,118;0,019
SP00941;SP;8289,000;6027,000;2262,000;5126,000;2,000;0,039;0,235;0,033
SP00942;SP;6510,000;5027,000;1483,000;4307,000;6,000;0,139;0,705;0,119
SP00947;SP;6568,000;4904,000;1664,000;4056,000;2,000;0,049;0,235;0,041
SP00948;SP;6371,000;4901,000;1470,000;3965,000;1,000;0,025;0,118;0,020
SP00949;SP;6028,000;4426,000;1602,000;3627,000;2,000;0,055;0,235;0,045
SP00951;SP;6758,000;5122,000;1636,000;4246,000;2,000;0,047;0,235;0,039
SP00952;SP;13315,000;8912,000;4403,000;7365,000;3,000;0,041;0,353;0,034
SP00953;SP;6513,000;4880,000;1633,000;4005,000;2,000;0,050;0,235;0,041
SP00957;SP;6423,000;4747,000;1676,000;3930,000;5,000;0,127;0,588;0,105
SP00958;SP;5350,000;3284,000;2066,000;2681,000;1,000;0,037;0,118;0,030
SP00964;SP;11909,000;8036,000;3873,000;7407,000;1,000;0,014;0,118;0,012
SP00965;SP;6230,000;4373,000;1857,000;3908,000;1,000;0,026;0,118;0,023
SP00977;SP;4747,000;3316,000;1431,000;2910,000;1,000;0,034;0,118;0,030
SP00978;SP;4720,000;3350,000;1370,000;2972,000;1,000;0,034;0,118;0,030
SP00982;SP;5546,000;3870,000;1676,000;3467,000;1,000;0,029;0,118;0,026
SP00985;SP;3154,000;2348,000;806,000;2069,000;1,000;0,048;0,118;0,043
SP00989;SP;4732,000;3471,000;1261,000;3057,000;1,000;0,033;0,118;0,029
SP01012;SP;9040,000;6338,000;2702,000;5575,000;1,000;0,018;0,118;0,016
SP01079;SP;8588,000;6157,000;2431,000;5169,000;1,000;0,019;0,118;0,016
SP01135;SP;5468,000;3955,000;1513,000;3382,000;1,000;0,030;0,118;0,025
SP01169;SP;6535,000;4709,000;1826,000;3984,000;1,000;0,025;0,118;0,021
SP01176;SP;8236,000;5751,000;2485,000;4720,000;1,000;0,021;0,118;0,017
SP01182;SP;5929,000;4415,000;1514,000;3910,000;1,000;0,026;0,118;0,023
SP01186;SP;3559,000;2774,000;785,000;2416,000;1,000;0,041;0,118;0,036
SP01272;SP;3598,000;2700,000;898,000;2308,000;1,000;0,043;0,118;0,037
SP01275;SP;8215,000;5845,000;2370,000;4919,000;1,000;0,020;0,118;0,017
SP01280;SP;5845,000;4462,000;1383,000;3757,000;1,000;0,027;0,118;0,022
SP01282;SP;8652,000;6512,000;2140,000;5430,000;1,000;0,018;0,118;0,015
SP01290;SP;5911,000;4545,000;1366,000;3870,000;2,000;0,052;0,235;0,044
SP01306;SP;10069,000;7542,000;2527,000;6154,000;3,000;0,049;0,353;0,040
SP01312;SP;4582,000;3352,000;1230,000;2711,000;1,000;0,037;0,118;0,030
SP01313;SP;5646,000;4362,000;1284,000;3544,000;9,000;0,254;1,058;0,206
SP01314;SP;4826,000;3450,000;1376,000;2922,000;19,000;0,650;2,233;0,551
SP01315;SP;5836,000;4110,000;1726,000;3568,000;40,000;1,121;4,700;0,973
SP01316;SP;6703,000;4570,000;2133,000;3887,000;10,000;0,257;1,175;0,219
SP01317;SP;7496,000;5230,000;2266,000;4360,000;19,000;0,436;2,233;0,363
SP01318;SP;5897,000;4085,000;1812,000;3426,000;6,000;0,175;0,705;0,147
SP01319;SP;6497,000;4542,000;1955,000;3670,000;2,000;0,054;0,235;0,044
SP01320;SP;8209,000;6019,000;2190,000;5015,000;6,000;0,120;0,705;0,100
SP01321;SP;5117,000;3907,000;1210,000;3326,000;30,000;0,902;3,525;0,768
SP01322;SP;6445,000;4994,000;1451,000;4166,000;4,000;0,096;0,470;0,080
SP01323;SP;6741,000;5078,000;1663,000;4301,000;11,000;0,256;1,293;0,217
SP01324;SP;1575,000;1123,000;452,000;935,000;3,000;0,321;0,353;0,267
SP01325;SP;2946,000;2309,000;637,000;1970,000;25,000;1,269;2,938;1,083
SP01328;SP;6187,000;4762,000;1425,000;4004,000;2,000;0,050;0,235;0,042
SP01329;SP;3596,000;2704,000;892,000;2290,000;11,000;0,480;1,293;0,407
SP01330;SP;7538,000;5905,000;1633,000;5127,000;6,000;0,117;0,705;0,102
SP01331;SP;1932,000;1420,000;512,000;1196,000;1,000;0,084;0,118;0,070
SP01332;SP;5043,000;3673,000;1370,000;3047,000;37,000;1,214;4,348;1,007
SP01333;SP;8821,000;6398,000;2423,000;5220,000;4,000;0,077;0,470;0,063
SP01335;SP;7407,000;5504,000;1903,000;4414,000;1,000;0,023;0,118;0,018
SP01336;SP;6381,000;4725,000;1656,000;3753,000;7,000;0,187;0,823;0,148
SP01337;SP;5929,000;4445,000;1484,000;3629,000;9,000;0,248;1,058;0,202
SP01338;SP;10511,000;7553,000;2958,000;6278,000;5,000;0,080;0,588;0,066
SP01339;SP;6726,000;4990,000;1736,000;3954,000;2,000;0,051;0,235;0,040
SP01340;SP;6735,000;5134,000;1601,000;4118,000;11,000;0,267;1,293;0,214
SP01341;SP;3295,000;2546,000;749,000;2084,000;160,000;7,678;18,801;6,284
SP01343;SP;2274,000;1747,000;527,000;1438,000;3,000;0,209;0,353;0,172
SP01344;SP;1994,000;1507,000;487,000;1250,000;3,000;0,240;0,353;0,199
SP01345;SP;3443,000;2632,000;811,000;2198,000;1,000;0,045;0,118;0,038
SP01346;SP;4333,000;3268,000;1065,000;2784,000;32,000;1,149;3,760;0,979
