CD_LOC;UF;aptos;comparecimentos;abstencoes;validos;votos_cand;pct_validos_local;pct_votos_cand_no_local;pct_votos_local_em_cand
SP00010;SP;9269,000;6039,000;3230,000;5553,000;3,000;0,054;0,530;0,050
SP00015;SP;4890,000;3200,000;1690,000;2777,000;1,000;0,036;0,177;0,031
SP00017;SP;6847,000;4140,000;2707,000;3704,000;1,000;0,027;0,177;0,024
SP00018;SP;5238,000;3256,000;1982,000;2906,000;1,000;0,034;0,177;0,031
SP00019;SP;4798,000;3546,000;1252,000;3272,000;1,000;0,031;0,177;0,028
SP00027;SP;3011,000;1933,000;1078,000;1784,000;1,000;0,056;0,177;0,052
SP00028;SP;8070,000;5175,000;2895,000;4726,000;2,000;0,042;0,353;0,039
SP00029;SP;17797,000;12599,000;5198,000;11769,000;4,000;0,034;0,707;0,032
SP00030;SP;2911,000;1924,000;987,000;1764,000;1,000;0,057;0,177;0,052
SP00031;SP;6412,000;4268,000;2144,000;3816,000;1,000;0,026;0,177;0,023
SP00036;SP;6716,000;4776,000;1940,000;4457,000;2,000;0,045;0,353;0,042
SP00037;SP;5446,000;3922,000;1524,000;3606,000;1,000;0,028;0,177;0,025
SP00038;SP;8044,000;5650,000;2394,000;5177,000;1,000;0,019;0,177;0,018
SP00039;SP;6391,000;4336,000;2055,000;3981,000;2,000;0,050;0,353;0,046
SP00040;SP;7288,000;5434,000;1854,000;4999,000;8,000;0,160;1,413;0,147
SP00041;SP;4585,000;3191,000;1394,000;2950,000;2,000;0,068;0,353;0,063
SP00044;SP;7789,000;5743,000;2046,000;5331,000;1,000;0,019;0,177;0,017
SP00045;SP;3377,000;2532,000;845,000;2298,000;2,000;0,087;0,353;0,079
SP00046;SP;8211,000;6097,000;2114,000;5678,000;2,000;0,035;0,353;0,033
SP00048;SP;5609,000;4361,000;1248,000;4021,000;1,000;0,025;0,177;0,023
SP00058;SP;5387,000;3548,000;1839,000;3095,000;2,000;0,065;0,353;0,056
SP00059;SP;6072,000;4040,000;2032,000;3525,000;1,000;0,028;0,177;0,025
SP00062;SP;4386,000;2971,000;1415,000;2589,000;1,000;0,039;0,177;0,034
SP00069;SP;2939,000;2032,000;907,000;1793,000;2,000;0,112;0,353;0,098
SP00071;SP;6547,000;4082,000;2465,000;3615,000;10,000;0,277;1,767;0,245
SP00072;SP;4862,000;3103,000;1759,000;2736,000;3,000;0,110;0,530;0,097
SP00073;SP;14871,000;9817,000;5054,000;8895,000;1,000;0,011;0,177;0,010
SP00074;SP;4599,000;3060,000;1539,000;2770,000;3,000;0,108;0,530;0,098
SP00075;SP;2374,000;1530,000;844,000;1347,000;1,000;0,074;0,177;0,065
SP00076;SP;7781,000;5170,000;2611,000;4521,000;1,000;0,022;0,177;0,019
SP00077;SP;5316,000;3714,000;1602,000;3239,000;1,000;0,031;0,177;0,027
SP00090;SP;5982,000;4272,000;1710,000;3906,000;1,000;0,026;0,177;0,023
SP00095;SP;7262,000;5378,000;1884,000;4657,000;1,000;0,021;0,177;0,019
SP00106;SP;4729,000;3001,000;1728,000;2772,000;2,000;0,072;0,353;0,067
SP00108;SP;7706,000;4996,000;2710,000;4672,000;2,000;0,043;0,353;0,040
SP00109;SP;3531,000;2268,000;1263,000;2068,000;1,000;0,048;0,177;0,044
SP00114;SP;11524,000;7280,000;4244,000;6663,000;1,000;0,015;0,177;0,014
SP00116;SP;13458,000;8809,000;4649,000;8195,000;2,000;0,024;0,353;0,023
SP00118;SP;11540,000;7496,000;4044,000;6933,000;1,000;0,014;0,177;0,013
SP00120;SP;7492,000;5053,000;2439,000;4694,000;1,000;0,021;0,177;0,020
SP00127;SP;7300,000;5121,000;2179,000;4725,000;1,000;0,021;0,177;0,020
SP00128;SP;9830,000;6546,000;3284,000;5910,000;1,000;0,017;0,177;0,015
SP00129;SP;8021,000;5609,000;2412,000;5146,000;2,000;0,039;0,353;0,036
SP00132;SP;4938,000;3378,000;1560,000;3079,000;1,000;0,032;0,177;0,030
